Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Priya, a backend engineer at a logistics company, must automate invoice intake: extract vendor fields from a PDF, classify the expense category, then route it to the right approval queue. The steps are always the same and each one's output feeds the next. Her teammate proposes a fully autonomous Claude agent with a dozen tools that decides its own steps. What should Priya build instead?",multiple-choice,A prompt-chained workflow where each predefined step is a separate Claude call whose output feeds the next step,"Correct. When a task decomposes into a known, fixed sequence of steps, a workflow with predefined steps is simpler, cheaper, and more predictable than an agent. Agents earn their complexity only when the path through the task cannot be determined in advance.","An autonomous agent with a broad tool set, since agents handle document tasks more reliably than fixed pipelines","Tempting because agents are the more powerful abstraction, but autonomy adds nondeterminism, latency, and cost with no benefit when the steps are already known. This over-engineers a fixed pipeline and makes failures harder to trace to a specific step.",A supervisor agent that spawns a subagent per invoice so each document is processed in an isolated context,"Subagent hierarchies solve context isolation and parallelism for complex, open-ended tasks; a three-step deterministic pipeline gains nothing from that structure. It applies a scaling pattern to a problem that has no scaling or isolation need.","A single large prompt that asks Claude to perform extraction, classification, and routing in one completion with no intermediate checks","A single mega-prompt removes the intermediate validation points that make pipelines debuggable, and one weak step degrades the whole output. It confuses fewer API calls with a better architecture; chaining lets you verify and correct between steps.",,,,,1,"Use a workflow when the steps are known and reserve agents for open-ended paths. The workflow-versus-agent decision hinges on whether the task's steps can be predetermined: fixed, decomposable pipelines favor prompt-chained workflows over autonomous agents.",Agents and Workflows
"Omar is designing a market-research system at a consumer-insights firm: a supervisor agent will coordinate three worker subagents that each investigate a different data source. A junior engineer suggests the supervisor should also read every raw article and dataset itself so nothing gets lost in translation. In a manager/supervisor hierarchy, what is the supervisor's proper role?",multiple-choice,"Decompose the request into subtasks, delegate each to a worker, and synthesize the distilled summaries the workers return","Correct. The supervisor's job is coordination: break the request down, route subtasks to workers, and integrate the condensed findings they send back. Keeping its context free of raw source material is what lets it reason clearly about the overall question.",Re-execute each worker's investigation itself so every finding is independently verified before synthesis,"Duplicating every worker's investigation defeats the purpose of delegation — the supervisor's context fills with the same raw material the hierarchy exists to keep out, and the cost roughly doubles for no architectural gain.",Receive each worker's complete raw context — every tool output and intermediate thought — so no detail is lost,Forwarding full raw contexts upward recreates the single-agent context-exhaustion problem inside the supervisor. The hierarchy works because workers absorb the noise and pass up only distilled findings.,"Stay out of task assignment and let workers watch a shared queue, claiming whichever subtask they prefer","A self-serve queue removes the decomposition and synthesis intelligence that makes the pattern effective; nobody is shaping subtasks to fit the question or integrating results, so coverage gaps and overlap go unnoticed.",,,,,1,"Supervisors decompose, delegate, and synthesize — they do not redo the workers' reading. The hierarchy's value comes from workers absorbing raw material in their own contexts and passing only distilled findings up to a coordinator kept clean for synthesis.",Agents and Workflows
"A four-person fintech startup needs to ship an internal coding agent in three weeks. It must run an agent loop, read and edit files, execute shell commands, manage its context over long sessions, and support permission checks before risky actions. The team debates building the harness from scratch in Python. What is the most pragmatic construction choice?",multiple-choice,Build a custom loop on the raw Messages API so the team controls every behavior from day one,"Tempting because a raw-API loop maximizes control, but the team would spend its three weeks rebuilding the loop, tool execution, context compaction, and permissioning that already exist. Custom harnesses make sense when requirements genuinely exceed what the SDK exposes, not as a default.","Use the Claude Agent SDK, which provides the agent loop, file and shell tooling, context management, and hook points out of the box","Correct. The Claude Agent SDK packages the production agent loop — tool execution, file and shell access, context management, and hooks for deterministic controls — so a small team ships in weeks and customizes only where its needs are unique.","Use claude.ai with a detailed project prompt, since the web interface already exposes Claude's coding ability","The web interface cannot be embedded in the team's internal systems, offers no programmatic control over tools or permissions, and is not an application-construction platform. It confuses a way to use Claude interactively with a way to build an agent product.",Wait for the task requirements to stabilize and script each coding task as a fixed prompt-chained workflow instead,"Coding assistance is inherently open-ended — the steps cannot be predetermined per task — so a fixed workflow forfeits the core value. It also dodges the actual decision, which is how to construct the agent, not whether to build one.",,,,,2,"Start from the Agent SDK and build a custom harness only for needs it cannot meet. The SDK supplies the agent loop, tooling, context management, and hooks that a from-scratch harness would have to reimplement under deadline pressure.",Agents and Workflows
"Noor is adding an AI planning capability to her company's industrial-IoT orchestration engine, a mature Java system with its own scheduler, state store, and tool-execution sandbox. The engine must own every turn: it decides when the model is called, persists conversation state itself, and executes actions through its existing sandbox. File-editing and shell tooling are irrelevant here. What construction approach fits best?",multiple-choice,"A minimal custom agent loop on the Messages API, with the engine dispatching tool calls and persisting conversation state in its own store","Correct. When the surrounding system must own scheduling, state, and tool execution — and the SDK's coding-oriented tooling adds nothing — a thin custom loop over the Messages API gives exactly the per-turn control required without fighting a harness's assumptions.","The Claude Agent SDK, since production agents should always start from the SDK regardless of the host environment","'Start from the SDK' is a sensible default, not a law. Here the host engine already provides the loop's responsibilities — state, dispatch, sandboxing — so the SDK's harness would duplicate or conflict with infrastructure the team must keep.","Claude Code in headless mode, wrapped by the engine, since it already ships a hardened agent loop","Claude Code's loop is built around a coding assistant's needs — repository context, file and shell tools — none of which this integration uses. Wrapping a coding CLI inside an orchestration engine adds a foreign process boundary for no benefit.","A fixed prompt-chained workflow, since custom agent loops are discouraged in production systems","Planning against live system state is findings-driven, not a fixed sequence, and 'custom loops are discouraged' is not a real rule — custom harnesses are the documented path when requirements diverge from what packaged options assume.",,,,,1,"Build a custom loop when the host system must own the harness's responsibilities. The Agent SDK is the default for greenfield agents, but a mature engine that already handles state, scheduling, and sandboxed execution is better served by a thin loop over the Messages API.",Agents and Workflows
"Petra is evaluating hooks as a safety layer for an agent at a robotics company before it is allowed to issue commands to lab equipment. Reviewing the mechanism with her team, she asks which properties of hooks the design can actually rely on. Which two statements are accurate? (Choose two.)",multi-select,"Hooks run as deterministic code at defined points in the agent lifecycle, such as before or after a tool call executes","Correct. Hooks are code the harness executes at fixed lifecycle points — they fire every time their trigger condition occurs, unaffected by what the model is thinking or what has entered its context.","Hooks are special instructions inside the system prompt, so a sufficiently persuasive injected input could talk the model out of honoring them","This describes prompt instructions, not hooks. Hooks live outside the model's reasoning entirely, which is exactly why they hold firm against prompt injection in situations where in-context instructions can be overridden.","A pre-tool-use hook can block a pending tool call based on its own logic, regardless of what the model intended","Correct. Because a pre-tool-use hook intercepts the action before it executes, it can deny or allow the call by its own criteria — the model proposes an action, but the hook decides whether it runs.","Hooks consume context-window tokens on every request, so heavy hook usage degrades the model's attention over long sessions","Hooks execute in the harness process, not inside the prompt; they add no tokens to the request. Confusing harness-side code with in-context content misreads where hooks actually run.",,,,,"1,3","Hooks are harness code, not prompt content: they run deterministically at defined lifecycle points, can gate a pending tool call on their own logic, cost no context tokens, and cannot be talked out of anything by injected text.",Agents and Workflows
"Dana, a platform engineer at a travel-booking site, is writing a custom tool-use loop against the Messages API. Her agent calls the flight-search tool once and then the program exits with an incomplete answer. Logs show the last API response had stop_reason ""tool_use"" and her code printed the partial text and returned. What is the correct loop behavior at that point?",multiple-choice,"Treat ""tool_use"" as an error condition, discard the turn, and retry the original request with a higher max_tokens value","Tempting if unfamiliar with tool use, but ""tool_use"" is a normal, expected stop reason — the model is pausing for the client to act, not failing. Retrying with more tokens misreads the protocol and discards a valid in-progress turn.","Execute the requested tool, append the assistant's tool-use turn and a tool_result message to the conversation, and call the API again, looping until stop_reason is ""end_turn""","Correct. The tool-use loop is: model requests a tool, the client executes it, the client returns a tool_result in the growing conversation, and the cycle repeats until the model signals completion with ""end_turn"". The client, not the model, runs the tools.","Return the text content of the tool-use response directly to the user, since the model has finished generating for that request","The response text before a tool call is intermediate reasoning, not the answer — the model explicitly stopped because it needs a tool result to continue. Returning it early ships a half-finished turn to the user.",Send the tool result to the API as a brand-new conversation containing only the tool output so the model can summarize it cleanly,"Starting a fresh conversation throws away the messages that give the tool result meaning: the user's question, the model's plan, and the tool call itself. Tool results must be appended to the same conversation to preserve the loop's state.",,,,,2,"A stop_reason of tool_use means the model paused for client action: execute the tool, append the result, and call again until end_turn. This loop is the foundational pattern every agentic framework elaborates on.",Agents and Workflows
"Rosa leads a modernization effort at an enterprise-software vendor: an AI system must upgrade a deprecated logging library across the company's repositories. The set of affected services is unknown until a scan runs, some repos need one edit while others need dozens, and each repo can be handled independently of the rest. Which pattern fits this job?",multiple-choice,"A fixed pipeline with one stage per repository, defined up front from last quarter's service inventory","A pipeline requires knowing the stages in advance, but the affected set is only discoverable at runtime and last quarter's inventory is already stale. Fixed structure fits fixed work, and this work is not fixed.",An evaluator-optimizer loop in which one model proposes edits and another critiques them until the diff is approved,"Evaluator-optimizer improves the quality of a single output through critique cycles; it says nothing about how to fan work out across an unknown number of independent repositories, which is the actual problem here.","An orchestrator that scans to discover the affected repos, dynamically delegates each one to a worker, and merges the results","Correct. Orchestrator-workers is built for exactly this shape: the orchestrator determines the subtasks dynamically — here by scanning — delegates each independent unit to a worker with its own context, and synthesizes the outcomes.",A single agent that upgrades every repository sequentially in one session so all decisions share one context,"One sequential session serializes work that is embarrassingly parallel and accumulates every repo's diffs and tool output in a single context, inviting the slowdown and drift that long single-agent sessions are known for.",,,,,3,"Orchestrator-workers fits work whose subtasks are discovered at runtime and run independently: the orchestrator scans, delegates each unit to an isolated worker, and merges results. Pipelines need stages known up front; this job's fan-out is only knowable after the scan.",Agents and Workflows
"Hana is designing support automation for a consumer-electronics retailer. Incoming messages fall into clearly distinct buckets — warranty claims, device troubleshooting, and order status — and each bucket is best served by a different prompt, tool set, and escalation rule. Handling all three in one generalist prompt has produced mediocre answers everywhere. What should she build?",multiple-choice,A longer generalist prompt that includes detailed instructions and few-shot examples for all three buckets at once,"Cramming three specializations into one prompt is what produced the mediocrity: instructions compete, examples dilute each other, and every message pays the token cost of two irrelevant playbooks.",A routing step that classifies each incoming message and dispatches it to the specialized handler for its category,"Correct. Routing is the pattern for inputs that fall into distinct categories with different optimal handling: a cheap classification step up front lets each downstream handler stay small, focused, and independently tunable.",An evaluator-optimizer loop that critiques the generalist's answer repeatedly until it is good enough to send,Iterative critique polishes an answer but cannot supply the category-specific tools and escalation rules the generalist lacks; it spends extra model calls improving output from what is fundamentally the wrong handler.,A supervisor that forwards every message to all three specialized handlers and merges their three answers,Fanning every message to all three handlers triples cost and latency and then requires a merge step to reconcile answers built on different assumptions — classification up front is cheaper and cleaner than reconciliation after.,,,,,2,"Route categorically distinct inputs to specialized handlers instead of growing one generalist prompt. A classification step up front keeps each handler focused with its own prompt, tools, and escalation rules — fixing the mediocrity a shared prompt created.",Agents and Workflows
"Amara, a senior engineer at a telehealth provider, is handed a one-line business requirement: 'add an AI assistant that answers patient billing questions.' Before she selects a model tier or an integration pattern, her architect asks her to pin down the requirements that will actually constrain the solution architecture. Which two items must she establish first? (Choose two.)",multi-select,Expected request volume and the latency target patients will tolerate for a response,"Correct. Volume and latency targets are core infrastructure requirements derived from the business need — they drive model tier, realtime-versus-batch selection, and capacity planning, so they must exist before architecture decisions are made.",Data residency and compliance constraints that govern where patient data may be processed,"Correct. In healthcare, residency and compliance constraints are infrastructure requirements that can eliminate whole classes of designs — they determine acceptable vendors, regions, and data flows and must be known before anything is built.",The specific Claude model the team will standardize on across all future projects,"Tempting because model choice feels like the first decision, but standardizing on a model before requirements exist inverts the process: the model is selected to satisfy the requirements, not the other way around. Premature standardization also ignores per-use-case tradeoffs.",The frontend component library the web team prefers for rendering the chat widget,"The component library is a presentation detail with no bearing on the solution architecture for the Claude integration. It's a real decision someone will make, but it constrains neither model selection nor the integration pattern — it is not a gating requirement.",,,,,"1,2","Derive functional and infrastructure requirements before choosing the solution. A business goal only becomes buildable once it is translated into measurable constraints — volume, latency, residency, compliance — that the architecture must satisfy.",Applications and Integration
"A telecom operator asks its platform team to build a Claude-powered assistant that answers network-outage questions from internal runbooks. Before proposing a solution architecture, the lead engineer schedules a requirements session. Which two clarifying questions will surface constraints that genuinely shape the design? (Choose two.)",multi-select,"What are the runbooks like as a corpus — how many, how large, in what formats, and how often are they updated?","Correct. The corpus's size, formats, and update cadence are input-data requirements that directly constrain the design — whether content fits in context, whether retrieval is needed, whether vision or parsing is required, and how freshness is maintained. Architecture cannot be chosen without them.","What must the assistant do when a question is not covered by any runbook — refuse, caveat, or escalate to an on-call engineer?","Correct. Behavior on uncovered questions is a functional requirement with safety implications: an outage assistant that guesses is dangerous. Whether it must refuse, caveat, or escalate determines prompt design, tool needs, and human-in-the-loop workflow, so it must be pinned down before design.",Which frontend framework does the internal-portal team prefer for building the chat interface?,"The portal team's frontend framework is a presentation-layer preference that constrains neither the Claude integration pattern nor the data flow. It is a real decision, but not one the requirements session for the assistant's architecture depends on.",Should the integration use streaming responses or wait for complete messages before displaying them?,"Streaming versus complete responses is an implementation choice made after requirements exist — it follows from latency expectations and the interface, rather than constraining the solution. Asking it now puts a delivery mechanism ahead of the constraints that should drive it.",,,,,"1,2","The questions that matter before design are the ones whose answers eliminate architectures: what the source data looks like, and what the system must do when it cannot answer. Presentation and delivery choices come later.",Applications and Integration
