Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Your team is building a customer support resolution agent with the Claude Agent SDK, using MCP tools get_customer, lookup_order, process_refund, and escalate_to_human. A junior engineer's agentic loop scans each assistant message for phrases like ""I have completed the task"" to decide when to stop iterating, and occasionally the loop exits while a refund is still mid-flow. What should the loop use as its termination condition instead?",multiple-choice,"Continue iterating while the response's stop_reason is ""tool_use"" and terminate when stop_reason is ""end_turn""","Correct. The stop_reason field is the model's explicit, structured signal about loop state: ""tool_use"" means Claude has requested a tool and expects results back for another iteration, while ""end_turn"" means it has finished. Driving control flow from stop_reason makes termination deterministic instead of dependent on phrasing.",Cap the loop at a fixed maximum of five iterations so every conversation terminates within a predictable number of turns,"Tempting because it guarantees termination, but an arbitrary iteration cap as the primary stopping mechanism is a named anti-pattern: it cuts off legitimate multi-tool tasks that need more turns and lets trivial tasks run pointless extra checks. A cap can exist as a safety backstop, but never as the main exit condition.","Terminate whenever the assistant message contains any text content, since text output indicates Claude has finished acting","This is a recognized anti-pattern: Claude frequently emits explanatory text alongside tool_use blocks, so the presence of text content does not mean the task is done. Using it as a completion indicator is exactly what caused the mid-refund exits in this scenario.",Instruct Claude to emit a special completion token in its final message and exit the loop when that token appears in the text,"This just formalizes the same mistake: it still parses natural-language output for a completion signal, which is probabilistic. The model may forget the token, emit it early, or paraphrase it, whereas stop_reason is a structured field the API guarantees on every response.",,,,,1,"Drive loop termination from stop_reason (""tool_use"" continues, ""end_turn"" stops), not from parsing text. The agentic loop lifecycle of send, inspect stop_reason, execute tools, and return results is the structural backbone of every Agent SDK application.",Agentic Architecture & Orchestration
"Your customer support resolution agent handles high-ambiguity requests — returns, billing disputes, account issues — with MCP tools get_customer, lookup_order, process_refund, and escalate_to_human. An engineer proposes replacing the model's tool selection with a hardcoded state machine that always runs get_customer, then lookup_order, then process_refund for any return-related request, arguing this makes behavior fully predictable. What is the strongest architectural argument against this proposal?",multiple-choice,A hardcoded state machine will exceed the context window because every state transition table must be embedded in the system prompt on each turn,"This invents a constraint that does not exist: a state machine lives in application code, not in the prompt, so it consumes no meaningful context. The real cost of the proposal is architectural rigidity, not token usage.","High-ambiguity requests require model-driven decision-making, where Claude reasons about which tool to call next based on context; a pre-configured sequence fails on every request shape the tree's designer did not anticipate","Correct. The core distinction in agentic loop design is between model-driven decision-making — Claude choosing the next tool based on what the conversation and prior tool results reveal — and pre-configured decision trees. Returns and billing disputes arrive in shapes no fixed sequence anticipates (missing order numbers, multiple orders, disputes that turn out to be fraud), and a state machine handles exactly the cases its designer foresaw and nothing else.","Pre-configured tool sequences prevent the API from ever returning stop_reason ""end_turn"", so conversations built on them can never terminate cleanly","This is a fabricated mechanism: stop_reason is set by the model based on whether it is requesting tools or finishing its turn, and nothing about application-side sequencing prevents ""end_turn"" from occurring. The objection to decision trees is lost flexibility, not broken termination.","Fixed tool ordering is only problematic when financial operations are involved, and since returns are logistics operations the state machine would actually work reliably here","This gets the tradeoff backwards twice: return flows do involve process_refund, a financial operation, and even where finances are not involved, fixed ordering still fails on unanticipated request variation. Deterministic enforcement belongs at specific critical prerequisites, not as a whole-conversation script.",,,,,2,"High-ambiguity workloads need model-driven decision-making, where Claude reasons about which tool to call next based on context. Pre-configured decision trees and fixed tool sequences are the named alternative that fails on unanticipated request variation; reserve determinism for specific critical prerequisites.",Agentic Architecture & Orchestration
"Your structured data extraction agent frequently produces responses that contain explanatory text such as ""I'll check the invoice header next"" alongside a tool_use block, with stop_reason ""tool_use"". A code review of the loop is examining how these mixed responses should be handled. Which two behaviors are correct? (Choose two.)",multi-select,"Treat the text content as the final user-facing answer and terminate the loop, since the model has produced a natural-language message","This is the named anti-pattern of checking for assistant text content as a completion indicator. Claude routinely narrates its intentions alongside tool requests, so terminating on text presence exits mid-task — exactly the class of bug that strands extractions half-finished.","Execute the requested tool and return its result in the next request, exactly as for a response containing only the tool_use block","Correct. stop_reason ""tool_use"" means the model has requested a tool and expects its result back for the next iteration, regardless of any accompanying narration. The loop's obligation — execute the tool, append the result, continue — is identical whether or not text came along.",Send the text back to the model and ask whether it considers the task complete before executing any of the requested tools,"This inserts a wasted model round-trip that itself relies on parsing a natural-language answer about completion, compounding the anti-pattern with latency and cost. The structured signal already present in the response makes the question unnecessary.","Treat the text as commentary accompanying the tool request, never as a completion indicator — stop_reason alone governs whether the loop continues","Correct. Explanatory text alongside a tool_use block is commentary, not a state signal. The distinction between structured control flow (stop_reason) and incidental prose is the foundation of reliable loop design — text may be logged or shown to users, but it must never drive termination.",,,,,"2,4","When stop_reason is ""tool_use"", execute the requested tool and return its result — any accompanying text is narration, never a completion indicator. Treating assistant prose as a state signal is a named anti-pattern that terminates loops mid-task.",Agentic Architecture & Orchestration
"In your multi-agent research system, an engineer proposes letting the search subagent hand results directly to the analysis subagent, and analysis directly to synthesis, bypassing the coordinator to cut overhead. What is the strongest architectural argument for keeping the hub-and-spoke design instead?",multiple-choice,"Routing all inter-subagent communication through the coordinator preserves observability, consistent error handling, and controlled information flow","Correct. In the hub-and-spoke pattern the coordinator is the single point where delegation, error handling, and information routing happen. When subagents talk peer-to-peer, failures surface in places no one is watching, error handling fragments across agents, and the coordinator loses the ability to decide what each subagent should see.",Direct handoffs will always exceed each subagent's context window because the coordinator is the only place results can be summarized,"Tempting because summarization at the hub is a real benefit, but the claim is too strong: nothing about a direct handoff inherently exceeds a context window, and the coordinator is not the only place content can be condensed. The core issue is loss of control and observability, not context size.","Subagents that communicate directly automatically inherit each other's full conversation histories, contaminating each other's context","This inverts a key fact about subagents: they operate with isolated context and do not inherit conversation history from anyone automatically — parent or peer. Context must always be passed explicitly, so contamination-by-inheritance is not a real failure mode here.",Peer-to-peer handoffs remove the coordinator's ability to enforce the iteration cap that serves as the primary loop-termination mechanism,"This treats an anti-pattern as if it were the coordinator's core job. Arbitrary iteration caps should never be the primary termination mechanism in the first place, so protecting one is not an argument for hub-and-spoke routing.",,,,,1,"Route all inter-subagent communication through the coordinator for observability, consistent error handling, and controlled information flow. Hub-and-spoke orchestration makes the coordinator the single point of delegation, aggregation, and routing.",Agentic Architecture & Orchestration
"Your multi-agent research system spawns three parallel web-search subagents for each broad topic, and each subagent receives the identical prompt ""research <topic> thoroughly"". Cost analysis shows roughly seventy percent of retrieved sources are duplicated across the three agents, so the parallelism triples spend without tripling coverage. What should the coordinator do differently?",multiple-choice,"Collapse the three search subagents into a single agent, since parallel search has been shown to waste money on this workload",This treats a delegation defect as a parallelism defect. Parallel search is exactly right for broad topics — it cuts latency and widens coverage — but only when each agent works a distinct slice. Collapsing to one agent serializes the work and caps coverage at what a single context can hold.,Keep the identical prompts but add a deduplication step in the synthesis stage that discards repeated sources after they arrive,Post-hoc deduplication runs after the tokens are spent: three agents still crawl the same sources and the bill is already tripled by the time synthesis discards the copies. It also does nothing to add the coverage the duplicated effort displaced.,Partition the research scope before delegating — assign each subagent a distinct subtopic or source type — so the parallel searches cover complementary ground with minimal duplication,"Correct. Partitioning research scope across subagents to minimize duplication is a core coordinator skill: give one agent academic sources, another news and industry reports, or split the topic into distinct subtopics. Identical prompts guarantee convergent searching; complementary assignments make parallelism buy coverage instead of copies.",Reduce each subagent's maximum result count by two-thirds so that the duplicated retrieval at least costs no more than one agent would,"Shrinking result budgets reduces the cost of duplication without reducing duplication: the three agents still converge on the same top-ranked sources, so you now pay for one agent's coverage delivered redundantly, with the long tail of unique sources cut off entirely.",,,,,3,Partition research scope across parallel subagents — distinct subtopics or source types per agent — so parallelism purchases coverage rather than duplication. Identical broad prompts make agents converge on the same sources at triple cost.,Agentic Architecture & Orchestration
"In your research system, the coordinator collects outputs from the search and document-analysis subagents and forwards them to the report-generation subagent as one raw concatenated block — verbose reasoning chains, retrieval logs, and two findings that directly contradict each other included. Final reports now assert both sides of the contradiction in different sections. Where should this be fixed?",multiple-choice,"Instruct the report generator to detect and flag contradictions in its input, resolving them in favor of whichever finding appears better sourced","The report generator is the wrong vantage point: it lacks the original research goals, cannot re-delegate for verification, and choosing a winner by apparent sourcing quality arbitrarily discards a possibly valid finding. Contradiction handling requires the agent that holds the whole picture.","Have the coordinator perform genuine result aggregation — reconcile or annotate the contradiction, drop the reasoning-chain noise, and pass a consolidated, coherent set of findings to report generation","Correct. Result aggregation is a core coordinator responsibility, not a pass-through. The coordinator sits at the hub precisely so it can reconcile conflicting findings — re-delegating a targeted verification query if needed, or annotating the conflict explicitly — and forward a consolidated set of findings rather than raw concatenated subagent output.",Run report generation twice on the same concatenated input and publish whichever draft contains fewer internal contradictions,"Sampling twice from the same contradictory input changes phrasing, not substance: both drafts are generated from findings that assert opposite things, so the contradiction survives in whichever draft is picked. This adds cost while leaving the defect upstream and untouched.",Grant the report generator access to the Task tool so it can query the search and analysis subagents directly whenever its inputs disagree,"Giving the report generator spawning power breaks hub-and-spoke: subagent communication now bypasses the coordinator, fragmenting error handling and observability, and the generator still lacks the research goals needed to judge which follow-up queries would resolve the conflict.",,,,,2,Result aggregation is a core coordinator responsibility: reconcile or explicitly annotate conflicting findings and pass consolidated results onward. Forwarding raw concatenated subagent output pushes unresolved contradictions into the final report.,Agentic Architecture & Orchestration
"Your research coordinator delegates to the synthesis subagent with the prompt ""Synthesize the research findings gathered so far."" The subagent returns generic, unfocused content that ignores the web search results and document analyses collected earlier in the coordinator's conversation. What is the cause, and what fixes it?",multiple-choice,Subagents run with isolated context and never inherit the parent's conversation history — the complete findings must be included directly in the synthesis subagent's prompt,"Correct. Subagents do not automatically inherit parent context or share memory between invocations, so ""the findings gathered so far"" refers to nothing from the subagent's point of view. The fix is to pass the complete search results and analysis outputs — ideally as structured data separating content from source metadata — directly in the delegation prompt.","The synthesis subagent's allowedTools list is missing ""Task"", so it cannot reach back to the coordinator to fetch the findings it needs to synthesize","Tempting because allowedTools misconfiguration is a real failure mode, but ""Task"" in allowedTools is what lets a coordinator spawn subagents; it is not a channel for a subagent to pull data from its parent. No tool grant changes the fact that context must be pushed into the subagent's prompt explicitly.",The coordinator must call fork_session before delegating so the synthesis subagent starts from a branch of the coordinator's session that contains the findings,"fork_session creates independent branches from a shared session baseline for exploring divergent approaches; it is a session-management feature, not the mechanism for delegating work to subagents. Subagent context passing happens through the prompt, not through session forking.","The subagent's AgentDefinition lacks a memory flag, which is what enables subagents to share state with the coordinator between invocations","This invents a configuration that does not exist. AgentDefinition covers descriptions, system prompts, and tool restrictions — there is no flag that makes subagents share memory with the coordinator, because context isolation is fundamental to how subagents work.",,,,,1,"Subagents operate with isolated context and never inherit the parent's conversation history, so complete findings must be passed explicitly in the delegation prompt. Structured formats that separate content from source metadata preserve attribution across the handoff.",Agentic Architecture & Orchestration
"Your search subagents return findings as flowing prose in which claims and their source mentions are interleaved (""...as one industry analysis noted, adoption doubled, though a separate survey from last spring suggests...""). Two handoffs later, the synthesis subagent's report attaches citations to the wrong claims and drops several sources entirely. What change to the context-passing design fixes this?",multiple-choice,Instruct the synthesis subagent to double-check every citation against the original sources before finalizing the report,"The synthesis agent cannot verify against sources it does not have: it received prose in which claim-source pairings were already ambiguous, and no instruction can recover bindings that were never explicitly represented. Verification requires the structure this pipeline lacks.","Require subagents to emit findings in a structured format that separates content from metadata — each claim paired with its source URL, document name, and page number — so attribution survives every handoff intact","Correct. Structured data formats that separate content from metadata — source URLs, document names, page numbers attached to each individual finding — are the prescribed way to pass context between agents while preserving attribution. Prose interleaving makes claim-source bindings implicit, and every summarization step degrades implicit bindings further.",Include the full raw text of every retrieved web page in the synthesis subagent's prompt so it can re-derive correct citations itself,"Raw page dumps explode the synthesis agent's context with material the search and analysis stages already processed, and re-deriving citations from scratch duplicates their work while inviting new mismatches. The pipeline needs bindings preserved, not evidence re-litigated.",Add a PostToolUse hook on the coordinator that appends an alphabetized bibliography of all retrieved sources to each subagent handoff,"A detached bibliography lists sources without binding them to claims — the report still cannot say which claim came from which source. The failure is per-claim attribution, and an appended list at the handoff level does not represent that relationship at all.",,,,,2,"Use structured data formats that separate content from metadata, pairing each finding with its source URL, document name, and page number. Prose interleaving leaves claim-source bindings implicit, and they corrupt a little more at every handoff.",Agentic Architecture & Orchestration
"Your fintech support agent must verify a customer's identity before any financial operation. The system prompt states this rule prominently, yet production logs show that in roughly 5% of sessions the agent calls process_refund using only a customer-stated email address, without a completed get_customer verification. What is the appropriate fix?",multiple-choice,Implement a programmatic prerequisite gate that blocks process_refund calls until get_customer has returned a verified customer ID in the session,Correct. When deterministic compliance is required — identity verification before financial operations is the canonical case — prompt instructions alone have a non-zero failure rate. A programmatic prerequisite gate makes the required ordering impossible to skip: the downstream tool physically cannot execute until the prerequisite step has completed.,Move the verification rule to the very top of the system prompt and repeat it verbatim before each user turn so the model cannot overlook it,"Tempting because prompt placement does influence adherence, but repositioning and repetition only reduce the failure rate; they cannot eliminate it. A 5% violation rate on financial operations is a deterministic-compliance requirement, and probabilistic mitigations are categorically the wrong tool for it.",Add few-shot examples to the system prompt demonstrating the agent calling get_customer first even when the customer volunteers order details,"Few-shot examples improve behavioral consistency and are a good tool for calibrating judgment, but they remain probabilistic guidance. For a hard business invariant with financial consequences, examples shrink the failure rate without providing the guarantee the requirement demands.",Route every proposed refund through a second Claude instance that reviews the transcript and approves the call only if verification occurred,A second model reviewing the first is still a probabilistic control — the reviewer can also err — and it adds a full model call of latency and cost to every refund. Stacking probabilistic checks approximates but never reaches the deterministic guarantee a simple programmatic gate provides outright.,,,,,1,"When deterministic compliance is required, prompt instructions alone have a non-zero failure rate — implement programmatic prerequisites that block downstream tool calls until prerequisite steps complete. Identity verification before financial operations is the canonical case for a hard gate.",Agentic Architecture & Orchestration
"When your support agent escalates a billing dispute mid-investigation, the human billing specialists — who work in a separate ticketing system with no access to the agent's conversation — currently receive only a ticket ID and a sentiment label like ""customer frustrated"". Specialists re-contact customers to ask for basics, and escalated-case resolution time has doubled. What should the escalation carry instead?",multiple-choice,"The complete raw conversation transcript exported verbatim into the ticket, so specialists can reconstruct the investigation from primary material","A raw multi-turn transcript buries the actionable facts in greetings, tool chatter, and dead-end turns — the specialist must re-perform the agent's analysis to find the root cause. It transfers data while failing to transfer the investigation's conclusions, which is what saves resolution time.","A deep link back into the agent's session plus a one-paragraph abstract, so specialists can pull details on demand as questions arise","The premise of this scenario is that specialists work in a separate system without access to the agent's conversation, so the link resolves to nothing they can open. Even with access, on-demand pulling recreates the re-investigation burden the handoff should eliminate.","The sentiment trajectory across the conversation and the agent's confidence score, so specialists can triage which escalations deserve attention first","Sentiment and confidence describe the conversation's mood, not the case: a specialist triaging by frustration level still opens the ticket knowing nothing about who the customer is, what went wrong, or what amount is disputed. The doubled resolution time comes from missing substance, not missing prioritization.","A structured handoff summary containing customer details, the root cause analysis so far, the disputed amount, and the agent's recommended action, so the specialist can act immediately without re-investigating","Correct. Structured handoff protocols for mid-process escalation carry exactly this payload: customer details, root cause analysis, the amounts involved, and recommended actions. The specialist inherits the investigation's conclusions rather than its raw material, and can act on the case immediately — the specific fix for humans who lack transcript access.",,,,,4,"Escalations to transcript-less humans need a structured handoff summary: customer details, root cause analysis, disputed amounts, and recommended actions. Sentiment labels and raw transcripts both force the specialist to re-investigate, which is what doubles resolution time.",Agentic Architecture & Orchestration
