Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"An underwriting assistant must decide whether an applicant qualifies for a commercial policy by combining seven rule documents, three prior loss runs, and an exclusions matrix, then show the chain of deductions it followed. On a GPT-4.1 deployment the assistant reaches the right verdict on 71% of the 200-case regression suite, usually failing when the exclusions interact. Latency of up to 30 seconds per case is acceptable. What is the most appropriate model choice?",multiple-choice,Deploy a reasoning model from the model catalog for the eligibility step and keep the cheaper chat model for summarizing the final decision for the customer,"Correct. Multi-document deduction with interacting rules is the workload reasoning models are trained for, and the 30-second latency budget makes their extra deliberation affordable. Splitting the pipeline keeps the expensive model on the hard step while a cheap chat model handles the plain-language write-up.",Keep GPT-4.1 and raise temperature to 0.9 so the model explores more interpretations of the interacting exclusions,"Higher temperature increases sampling randomness, not analytical depth. On a rules-and-exclusions problem it makes the verdict less reproducible across runs, which is the opposite of what an underwriting audit trail needs.","Keep GPT-4.1 and add the phrase asking it to think step by step to the system prompt, since that produces the same deliberation as a reasoning model","Prompted step-by-step text helps a little, but it is surface-level narration produced by the same model that is already failing on interacting exclusions. A reasoning model allocates real inference-time compute to the deduction, which prompt wording cannot manufacture.","Move the eligibility step to a small language model and pass the exclusions matrix as a longer, more explicit prompt",Going smaller on the hardest step in the pipeline trades away exactly the capability the failures point to. Longer prompts add context but do not give a small model the deductive depth to resolve interacting exclusions.,,,,,1,Interacting-rule deduction with a generous latency budget is the canonical reasoning-model case; temperature and step-by-step prompt wording do not substitute for inference-time reasoning. Keep the cheap chat model for the presentation step.,Plan and manage an Azure AI solution
"You are designing a field-service agent in Microsoft Foundry Agent Service. It must answer repair questions from 60,000 internal maintenance PDFs and it must also read live equipment status from an existing internal REST API that already publishes an OpenAPI 3.0 specification with 40 operations. Which two integrations should the design use? (Choose two.)",multi-select,Attach an Azure AI Search index of the maintenance PDFs to the agent as a knowledge tool so retrieval happens inside the agent run,"Correct. A knowledge tool backed by an Azure AI Search index is the supported way to ground an agent in a large private corpus, and running retrieval inside the agent run keeps citations and tool traces attached to the thread. Sixty thousand PDFs is far past anything that belongs in instructions.",Register the equipment status API with the agent as an OpenAPI specified tool so the agent can call its operations directly,"Correct. Foundry Agent Service can import an OpenAPI 3.0 specification and expose its operations as tools, so an API that already publishes a spec needs no bespoke wrapper code and its schemas and auth are described declaratively.",Copy the maintenance PDFs into the agent instructions as background context so no retrieval service is required,"Agent instructions are a system prompt, not a document store — 60,000 PDFs exceed any context window, and even a subset would be paid for on every single turn. This confuses giving an agent knowledge with giving it a persona.",Write a single custom function tool that proxies all 40 API operations behind one action parameter the model must fill in,"Collapsing 40 operations into one generic action parameter destroys the per-operation schemas the model relies on to call tools correctly, which drives argument errors up. It is also strictly more code to maintain than importing the spec that already exists.",,,,,"1,2",Ground a large private corpus with an Azure AI Search knowledge tool and expose an existing documented API through OpenAPI tool import. Stuffing documents into instructions or hand-proxying 40 operations both fight the platform.,Plan and manage an Azure AI solution
"A retail search index holds 48 million chunks with 3,072-dimension float32 embeddings. The search service is close to its storage quota, monthly cost is the main complaint, and the team has confirmed that a small drop in top-10 ranking quality is acceptable as long as the final results stay accurate. Which change addresses the cost pressure most directly?",multiple-choice,Enable vector compression with quantization on the index and configure oversampling with rescoring against the original vectors,"Correct. Quantization compresses each vector to a much smaller representation, which is the dominant storage cost at 48 million by 3,072 dimensions, and oversampling with rescoring against the retained full-precision vectors recovers most of the ranking quality lost to compression. That trade is exactly the one the team already agreed to accept.",Reduce the number of documents in the index by dropping every chunk that has not been returned in a query in the last 90 days,"Pruning by recent query history silently deletes long-tail content, so questions about it become unanswerable rather than merely lower-ranked. It also attacks document count when the real driver is bytes per vector.",Switch the vector profile from an HNSW algorithm to exhaustive KNN so no graph structure has to be stored,"Exhaustive KNN removes the ANN graph but scans every vector at query time, so latency scales linearly with a 48 million document index. It trades a modest storage saving for a serious query-performance regression.",Move the vector fields into a second search service so the storage is spread across two quotas,"Splitting fields across two services multiplies fixed service cost, forces the application to merge results from two systems, and does nothing to reduce total bytes stored. It relabels the quota problem instead of solving it.",,,,,1,"Vector storage cost at scale is addressed with quantization plus oversampling and rescoring, which preserves most ranking quality. Deleting content, disabling ANN, or splitting services all trade away more than they save.",Plan and manage an Azure AI solution
"A finance operations agent in Foundry Agent Service must do two things: compute variance statistics and produce a chart from CSV exports that analysts upload during the conversation, and file an approved journal entry in the ERP system by triggering an existing enterprise workflow that already runs in Azure Logic Apps. Which two tool integrations should you configure? (Choose two.)",multi-select,"The code interpreter tool, so the agent can run generated code against the uploaded CSV to compute statistics and render the chart","Correct. Code interpreter gives the agent a sandboxed execution environment for uploaded files, so numeric work is actually computed rather than predicted token by token, and chart images are produced as real output files. Deterministic arithmetic on user-supplied data is exactly the boundary where code beats generation.","An Azure Logic Apps tool binding, so the agent can invoke the existing workflow that performs the ERP journal entry","Correct. Binding an existing Logic Apps workflow as a tool lets the agent invoke a process that already encodes the ERP connectivity, retries, and approvals, rather than duplicating it. Reusing the workflow also keeps the existing operational monitoring around that integration intact.",A prompt instruction telling the agent to calculate the variance arithmetic itself and describe the chart in text,"Asking a language model to do the arithmetic itself is precisely the failure mode code interpreter exists to prevent: results look plausible and are silently wrong, which is unacceptable in finance. A textual description of a chart is also not the chart the analysts asked for.",A custom function tool that reimplements the ERP posting logic in Python inside the agent's own service,"Reimplementing ERP posting inside the agent forks business-critical logic, duplicates credentials and error handling, and guarantees the two implementations drift. The existing Logic Apps workflow is already the tested path to the same system.",,,,,"1,2","Deterministic calculation on uploaded files belongs in code interpreter, and an enterprise action that already exists as a Logic Apps workflow should be bound as a tool. Model-computed arithmetic and reimplemented integrations both add risk for no benefit.",Plan and manage an Azure AI solution
"A retailer needs to generate product description summaries for 2.4 million catalogue items. The job runs once, results are consumed by a nightly publishing pipeline, and anything finishing within 24 hours is fine. The team's first attempt looped the items through their interactive Standard deployment and immediately began throttling the customer-facing chat app that shares the same quota. What is the right deployment choice for this job?",multiple-choice,"Submit the work to a Global Batch deployment, which processes the job asynchronously against separate batch quota at a reduced token price","Correct. Batch deployments exist for exactly this shape of work: a large offline job with a 24-hour completion target, priced well below Standard and drawing on its own enqueued token quota so it does not compete with interactive traffic. Submitting a file of requests also removes the hand-written throttling loop entirely.",Keep the Standard deployment but add a fixed sleep between requests so the loop stays under the throttling threshold,Sleeping between requests keeps the loop under the limit but stretches 2.4 million items across an impractical wall-clock window and still consumes the shared interactive quota the whole time. It manages the symptom rather than moving the work off the interactive path.,Request a large temporary quota increase for the Standard deployment and run the loop with more parallelism,"Raising Standard quota to accommodate a one-off bulk job means the interactive app and the batch loop still share one pool, so a burst in either can starve the other. It also pays full interactive token prices for work with no latency requirement.",Create a Provisioned Throughput deployment for the duration of the job and delete it when the catalogue is finished,"Provisioned throughput is a reserved-capacity commitment tuned for predictable low latency, which this job does not need, and it is billed accordingly. Standing one up for a single overnight run is the most expensive way to solve a latency-insensitive problem.",,,,,1,"A one-off 2.4 million item job with a 24-hour window is the canonical Global Batch case: separate quota, asynchronous processing, and a lower token price. Throttling loops and quota increases keep bulk work on the interactive path where it damages the user-facing app.",Plan and manage an Azure AI solution
"A Python service that calls a Foundry project is being promoted from dev to test to prod. Today the project endpoint URL, the model deployment name, and an API key are all literals in the source, and each environment has its own Foundry resource. Which two changes should the CI/CD pipeline introduce so the same build artefact runs correctly in every environment? (Choose two.)",multi-select,Read the project endpoint and the model deployment name from environment configuration injected per environment by the pipeline,"Correct. Endpoints and deployment names are environment facts, not code, so injecting them as configuration is what lets one immutable artefact be promoted through the pipeline unchanged. It also means a new environment is a config change rather than a code change and rebuild.",Authenticate with DefaultAzureCredential so the same code uses a developer identity locally and the workload's managed identity in each deployed environment,"Correct. DefaultAzureCredential resolves whatever identity is available — a signed-in developer locally, the assigned managed identity in Azure — so the credential acquisition path stops being environment-specific code. As a bonus it removes the API key literal that should never have been in source at all.",Keep the values in source but add an if statement that selects the right endpoint based on the hostname the service is running on,"Hostname sniffing hardcodes the environment topology into the application, so every new environment or renamed host requires a code change and a redeploy. It also leaves the secrets in source control, which is the more serious of the two problems here.",Publish separate branches of the repository per environment so each branch carries the correct literal endpoint and key,"Per-environment branches guarantee configuration drift: fixes land on one branch and not others, and the thing tested in test is literally not the thing shipped to prod. Branching is for code changes, not for deployment configuration.",,,,,"1,2",Promote one artefact by injecting endpoint and deployment name as per-environment configuration and by acquiring credentials through DefaultAzureCredential. Hostname branching and per-environment repository branches both hardcode topology and invite drift.,Plan and manage an Azure AI solution
"A GitHub Actions workflow deploys Foundry infrastructure and model deployments using a service principal client secret stored as a repository secret. The secret expired at 2 a.m., breaking the release, and the security team has flagged long-lived credentials in CI as a finding. What should the team change in the pipeline's authentication?",multiple-choice,"Configure workload identity federation so the workflow exchanges its GitHub OIDC token for an Azure AD token, removing the stored client secret entirely","Correct. Federated credentials let the workflow present its short-lived GitHub OIDC token and receive an Azure AD access token in exchange, so there is no secret to store, rotate, or expire. It also scopes trust to a specific repository, branch, or environment, which is stronger than any secret sitting in a settings page.",Move the client secret into Azure Key Vault and have the workflow fetch it at the start of each run,"Key Vault protects the secret at rest, but the workflow still needs a credential to authenticate to Key Vault, so a long-lived secret exists somewhere and the expiry problem is merely relocated. It reduces exposure without removing the class of failure.",Extend the service principal secret expiry to the maximum allowed and add a calendar reminder before it lapses,"A longer expiry postpones the outage and leaves a highly privileged, long-lived credential in CI — the exact security finding raised. Calendar reminders are a process control standing in for a technical one.","Switch the workflow to use the Foundry resource's API key, since keys do not expire on a fixed schedule","Resource API keys are static shared secrets with broad data-plane access and no per-pipeline identity, so this is a step backwards from a service principal. Keys also cannot perform the control-plane operations needed to create deployments.",,,,,1,"Workload identity federation replaces stored client secrets with a short-lived OIDC token exchange scoped to the repository, eliminating both the expiry outage and the long-lived credential finding. Vaulting or extending the secret only moves or delays the problem.",Plan and manage an Azure AI solution
"Two workloads share one model in the same region: an interactive assistant that must stay responsive, and a nightly enrichment job. Both currently call the same Standard deployment, and the enrichment job regularly consumes most of the tokens per minute, throttling the assistant. The subscription's total regional quota for that model cannot be increased right now. What deployment configuration resolves the contention?",multiple-choice,"Create two deployments of the model and allocate a fixed share of the available tokens-per-minute capacity to each, sizing the interactive deployment for its peak and giving the remainder to the enrichment job","Correct. Deployment capacity is expressed in tokens per minute drawn from the region's quota for that model, so splitting the pool across two deployments creates a hard ceiling on what the enrichment job can consume. The interactive workload then has a reserved share that a runaway batch cannot take.",Keep one deployment and have the enrichment job retry with a longer backoff whenever it receives HTTP 429,"Longer backoff makes the batch job politer, but both workloads still draw from one shared limit and the assistant is still throttled whenever the job happens to be in flight. Client-side manners are not capacity isolation.",Keep one deployment and raise its capacity setting to a value above the subscription's remaining regional quota so it can burst when needed,"A deployment's capacity cannot exceed the unallocated quota available in the region, so the request simply fails rather than granting burst headroom. This misunderstands capacity as a soft hint rather than an allocation from a fixed pool.","Move the enrichment job to a different model family that has separate documentation, so the two workloads no longer interact","Model family does not determine quota isolation by itself, and swapping models to dodge contention changes output characteristics the enrichment pipeline was validated against. It also leaves the same contention pattern in place if the new model shares regional capacity.",,,,,1,Split the regional quota into two deployments with explicit tokens-per-minute allocations so batch work cannot starve interactive traffic. Backoff and oversized capacity requests do not create isolation within a single shared deployment.,Plan and manage an Azure AI solution
"A summarization service ran unchanged for three months. Support now reports that summaries have become noticeably longer and less faithful to the source, but no application deployment happened. The deployment's version upgrade policy allows automatic updates and there is no continuous evaluation on production traffic. How should the team establish what happened and prevent a repeat?",multiple-choice,"Compare the deployment's current model version against the version recorded when the service was validated, then add continuous evaluation that scores sampled production responses for groundedness and flags a drop","Correct. With no application change, the environment changed, and the auto-update policy makes the model version the prime suspect — comparing the current version to the validated one settles it in minutes. Adding continuous evaluation on sampled production traffic converts the next such change from a support ticket into an alert with a measured groundedness delta.","Restart the service and clear its response cache, since stale cached completions are the most likely cause of the change in output style","A cache would replay old outputs, which would make responses look unchanged rather than newly verbose. This inverts the symptom: cached content cannot explain a shift towards longer, less faithful summaries.",Ask users to rate individual summaries with a thumbs-up control and treat the resulting score as the drift detector,"Thumbs-up feedback is sparse, biased towards the annoyed, and arrives without a reference answer, so it detects large failures late and small quality drifts never. It complements measured evaluation but cannot serve as the detector.","Retrain the embedding model used for retrieval, because embedding drift is the usual cause of longer outputs","Embeddings do not change on their own, and nothing suggests retrieval quality moved; embedding models also do not control output length. This proposes an expensive re-index against a hypothesis with no supporting signal.",,,,,1,Unexplained quality shifts with no code deployment point at a model version rollover under an auto-update policy. Continuous evaluation of sampled production traffic for groundedness is what detects the next one automatically.,Plan and manage an Azure AI solution
"A Python API running in Azure Container Apps uses DefaultAzureCredential with a user-assigned managed identity to call a Foundry model deployment. Logs show the token request succeeds and returns an access token for the cognitive services scope, but the very next call fails with HTTP 403 and a message about the principal lacking permission over the resource. What is the fix?",multiple-choice,Assign the managed identity an appropriate data-plane role such as Cognitive Services OpenAI User on the Foundry resource scope,"Correct. A successful token acquisition proves authentication worked — Entra ID knows who the principal is — so a subsequent 403 is an authorization verdict, which is settled by a role assignment at the correct scope. Data-plane calls to a model deployment need a data-plane role such as Cognitive Services OpenAI User, which control-plane roles like Contributor do not imply.","Recreate the user-assigned managed identity and re-attach it to the container app, because its credentials have gone stale","Managed identity credentials are issued and rotated by the platform, and the evidence shows a token was issued successfully, so nothing is stale. Recreating the identity also invalidates any role assignments that do exist, making the situation worse.","Switch the client from token authentication to the resource API key, which does not depend on role assignments",Falling back to a key trades a diagnosable authorization gap for a long-lived shared secret and abandons the keyless posture the design chose. It makes the error disappear without anyone understanding which permissions the workload actually needs.,Add the container app's outbound IP addresses to the resource's network allow list so the calls are accepted,"A network restriction produces a connection-level rejection or a 403 citing a network rule, and it would prevent the call from being evaluated against a principal at all. The message names the principal's permissions, which points squarely at RBAC.",,,,,1,Token acquired plus 403 equals missing role assignment; grant the managed identity a data-plane role such as Cognitive Services OpenAI User at the resource scope. Recreating identities or falling back to keys mistakes an authorization gap for an authentication one.,Plan and manage an Azure AI solution
