Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Marcus, an operations coordinator at a healthcare clinic, needs Claude to draft a patient-facing FAQ about a new appointment booking system. He has the internal rollout document. Which prompt is most likely to produce a usable first draft?",multiple-choice,"""Write an FAQ about our new booking system"" with no attachment, so Claude stays flexible","Tempting because short prompts feel efficient, but with no source material Claude will invent plausible-sounding details about a booking system it has never seen, and with no audience guidance it may write for staff instead of patients. Flexibility here just means guessing.",Paste the rollout document alone with no instructions and let Claude infer what he needs,"Providing the source document is half the job, but with no instructions Claude must guess the task, the audience, and the format. It might summarize the rollout plan for managers rather than write patient-friendly questions and answers.","Attach the rollout document and specify the audience, a plain-language reading level, the question topics to cover, and the desired format","Correct. This prompt combines grounding material with clear task specification: real source content to draw facts from, a defined audience and reading level, scoped topics, and a stated format. That is the recipe for a first draft that needs refinement rather than rework.","Ask Claude to first explain what makes a good FAQ in general, then request the draft in a later message",A general lesson on FAQ writing does not move the actual task forward and adds an unnecessary step. Claude does not need to be taught the genre; it needs Marcus's specific source content and requirements to produce something accurate and on-audience.,,,,,3,"Pair source material with explicit task instructions: grounding documents plus a clear statement of audience, scope, and format is the core structure of an effective business prompt.",Prompting and Task Execution
"Tomás, a communications lead at a public utility, receives a first draft from Claude that is too formal and omits two key talking points from the source brief. What is the most effective next step to improve the output?",multiple-choice,Reply in the same chat with specific feedback: name the tone shift needed and the two missing points to add,"Correct. Iteration works best as a targeted feedback loop: keep the conversation context, state exactly what is wrong, and say what good looks like. Claude can then revise precisely rather than guess, and each round moves the draft measurably closer to the goal.","Open a brand-new chat and submit the original prompt again, hoping the next draft lands closer","Starting fresh throws away the conversation context and the diagnostic information Tomás now has. The original prompt produced this draft once and will likely produce similar problems again, because nothing about the request has changed.",Click regenerate on the same message repeatedly until a version appears that fixes both problems,"Regeneration is a lottery, not a correction: the model receives no information about what was wrong, so fixes to both issues appearing together by chance is unlikely. Specific feedback converges faster than repeated random draws.",Accept the draft as a starting point and rewrite the tone and missing content entirely by hand,"Manual rewriting forfeits the speed advantage of working with Claude and teaches the model nothing for next time. A one-sentence revision request would fix both issues in seconds; hand-editing is the fallback for final polish, not the first response to a fixable draft.",,,,,1,"Iterate with specific, directive feedback: telling Claude exactly what to change and why beats regenerating or restarting, because feedback carries information that a retry does not.",Prompting and Task Execution
"Noah, a grants manager at an education nonprofit, uses one template for every Claude request: ""Answer in three concise bullet points."" It works well for status summaries but produces thin, unhelpful results when he researches the national funding landscape. What is the best adjustment?",multiple-choice,"Keep the template everywhere, since a consistent format makes all outputs easier to compare","Tempting because consistency has real value for recurring summaries, but a format optimized for brevity actively harms a task whose value lies in depth, evidence, and nuance. Consistency of format should never override fitness for the task type.","Adapt the prompt to the task: for research, allow a fuller exploratory response and ask for sources and flagged uncertainties","Correct. Different task types need different prompting strategies: research tasks benefit from room to explore, requests for sources, and explicit flagging of uncertain claims, while summaries benefit from tight format constraints. Matching strategy to task is the core skill.",Increase the template to five bullet points so research answers have a little more room,Two extra bullets is a cosmetic tweak to the wrong strategy. The problem is not bullet count but that a compression-oriented format is being applied to an exploration-oriented task; the research still gets flattened into fragments without evidence.,Reframe the research request as a brainstorm so Claude generates a wider range of possibilities,"Brainstorming prompts optimize for imaginative variety, but research requires grounded, verifiable findings about what actually exists in the funding landscape. Swapping one mismatched strategy for another does not produce the sourced depth Noah needs.",,,,,2,"Match prompt strategy to task type, not habit: analysis, research, drafting, and brainstorming each reward different constraint levels, evidence requirements, and output formats.",Prompting and Task Execution
"Daniel, an administrator at a hospital network, has Claude analyze a staffing spreadsheet. The narrative is insightful, but one departmental total in Claude's analysis doesn't match the figure he remembers from the source file. What should he do first?",multiple-choice,"Trust the analysis, since Claude had direct access to the uploaded spreadsheet when computing totals","Tempting because access to the source feels like a guarantee, but models can misread, miscount, or mis-aggregate data they were given. Having the spreadsheet in context lowers error rates; it does not eliminate them, so a suspected discrepancy still demands source verification.","Recheck the figure against the spreadsheet itself, and if it is wrong, treat the other numbers as unverified until spot-checked","Correct. One demonstrated numeric error changes the evidence status of the whole output: verification against the source resolves the specific discrepancy, and a confirmed error means the remaining figures need spot-checking before anyone acts on them. This is evaluation driven by the source, not by trust.",Ask Claude to confirm its own total in the same conversation and proceed if it stands by the number,"A model asked to confirm its own figure will often restate it confidently, whether right or wrong. Self-confirmation adds no independent evidence; only the spreadsheet itself can settle which number is correct.",Forward the analysis with a general note that some figures may need double-checking later,Shipping known-doubtful numbers with a vague disclaimer transfers the verification burden to readers who lack the source file. A caveat does not make an inaccurate figure safe to circulate in a hospital staffing decision.,,,,,2,"One caught error means the rest is unverified: accuracy evaluation widens checking after a confirmed mistake, and only the source data can adjudicate a numeric discrepancy.",Output Evaluation and Validation
"Grace, an HR manager at a media company, uses Claude to summarize interview notes into candidate write-ups. Reviewing a batch, she notices the summaries describe some candidates with notably warmer, more confident language than others, in ways the underlying notes don't seem to justify. What should she do?",multiple-choice,Treat this as potential bias: compare the summaries systematically against the source notes and add human review before the write-ups influence decisions,"Correct. Systematic tone differences not grounded in the source material are a signature of bias in generated text. The right response is evidence-based: audit outputs against the notes to confirm the skew, and insert human review before the outputs affect hiring decisions, where biased language causes real harm.",Assume the tone differences accurately reflect real differences in how the candidates interviewed,"Tempting because interviews do differ, but Grace's observation was that the tone gaps are not supported by the notes. Assuming generated differences reflect reality — when the source material says otherwise — is exactly how bias passes unnoticed into decisions.",Ask Claude directly whether its summaries are biased and accept its assessment of its own output,"Models are unreliable auditors of their own bias; a self-assessment is generated by the same process being questioned. Bias detection needs comparison against the source material and human judgment, not the model's opinion of itself.",Standardize the problem away by instructing Claude to describe every candidate in identical positive language,"Forcing identical positive language destroys the write-ups' informational value and hides the problem rather than fixing it. Legitimate, note-supported distinctions between candidates should survive; unsupported skew is what needs to be removed.",,,,,1,"Audit systematic skew against the source material: bias shows up as patterned differences the source doesn't justify, and it warrants human review wherever outputs feed consequential decisions.",Output Evaluation and Validation
"Olivia, an operations lead at an insurance company, used Claude to draft a customer-facing notification about changes to policy coverage terms. The draft is accurate to the internal change memo she provided and reads well. What should happen before the notification is sent to customers?",multiple-choice,"Send it, since the draft was grounded in the official internal memo and reads professionally","Tempting because grounding in the memo handles factual accuracy, but accuracy to an internal document is not the bar for this output. Coverage-change notifications carry legal obligations about wording, required disclosures, and timing that the memo's author and Claude may both have missed.","Route it through legal or compliance review, because it is an external communication with regulatory and contractual implications","Correct. The trigger for expert human review is consequence, not quality: external communications with regulatory, contractual, or legal weight require review by the humans accountable for those risks, no matter how polished the draft. Claude accelerates the drafting; it does not absorb the accountability.","Have a colleague proofread it for typos and formatting, then send it to the customer list","Proofreading checks surface quality, but the risk in this document is substantive — whether the wording creates legal exposure or omits a required disclosure. A typo pass by a colleague is review at the wrong level for the stakes involved.",Ask Claude to review the draft from a lawyer's perspective and incorporate its suggested edits,"A lawyer-persona review is still the model reviewing itself, with no professional accountability and no knowledge of the company's specific regulatory posture. Simulated expertise is useful for pre-review tightening, but it cannot substitute for the real function.",,,,,2,"Consequence, not polish, triggers expert review: outputs with legal, regulatory, or financial weight need accountable human review before use, regardless of how good the draft looks.",Output Evaluation and Validation
"Mei, a marketing lead at a subscription meal-kit company, had Claude generate two candidate versions of a re-engagement email for lapsed customers. She must pick one to send. What is the best way to compare them?",multiple-choice,"Evaluate both versions against defined criteria for this audience — clarity of the offer, tone for lapsed customers, strength of the call to action","Correct. Comparing outputs requires explicit criteria derived from the audience and the goal — what must this email accomplish with this reader? Judging both drafts against the same rubric turns a taste-based choice into a defensible decision, and the criteria can also drive a final refinement round.","Choose the longer version, since it contains more persuasive content and covers more of the offer","Length is not a quality criterion, and for a re-engagement email it often cuts the other way: lapsed customers skim, and a longer message can bury the offer. Choosing by volume substitutes an easy-to-measure proxy for the audience-fit judgment the task requires.",Ask Claude which of its two outputs is better and send whichever one it selects,"Claude can articulate trade-offs between the drafts, which is useful input, but delegating the final choice discards the context only Mei has — brand voice, past campaign performance, and what this segment responds to. The human owns the audience judgment.",Merge all distinctive elements of both versions into one email so nothing of value is lost,"Merging everything produces a longer, less coherent email that serves neither version's structure. Comparison exists to select and refine the stronger approach, not to concatenate both; ""keep everything"" is the avoidance of a decision, not a method.",,,,,1,"Compare drafts against audience-derived criteria: choosing between outputs is a rubric exercise — define what success looks like for this reader and goal, then judge both versions against it.",Output Evaluation and Validation
"Theo, a strategy analyst at a beverage company, is planning his week of Claude work and wants to match each task to the right product feature. Which two pairings are appropriate? (Choose two.)",multi-select,"A deep, multi-source investigation of an unfamiliar market segment — run it in research mode","Correct. Research mode is built for exactly this: extended, multi-source investigation that gathers and synthesizes information beyond a single-pass chat answer. An unfamiliar market landscape is the canonical use case for choosing it over standard chat.","A launch plan he will draft, revise across sessions, and share with his team — build it as an artifact","Correct. A substantial document that will be revised over time and shared belongs in an artifact — a standalone, iteratively editable container — rather than scattered across inline chat responses that fragment with every revision.",A single quick question about a date-format convention — set up a dedicated Project for it first,"Creating a Project for a one-off question inverts the feature's purpose: Projects pay off when context and instructions recur across many chats. For a single quick question, plain chat answers instantly with zero setup overhead.",Team writing standards he applies in every conversation — paste them manually into each new chat,"Manually pasting standing instructions into every chat is the problem Projects solve, not a solution. Recurring standards belong in Project instructions, set once and applied automatically to every conversation inside the Project.",,,,,"1,2","Match the feature to the task's shape: research mode for deep investigation, artifacts for evolving deliverables, Projects for recurring context, plain chat for quick one-offs.",Product and Model Selection
"Nadia, an e-commerce merchandising lead, needs to generate short, formulaic category tags for thousands of product descriptions every day. Speed and cost dominate, the task is simple, and spot checks show light and heavy models tag with equal accuracy. Which selection aligns with the requirements?",multiple-choice,"A fast, economical model suited to simple high-volume work, since measured quality is equivalent across tiers","Correct. Aligning model selection with task requirements means choosing the cheapest, fastest tier whose quality meets the bar — and here spot checks show tier-equivalent accuracy on a simple, high-volume task. Paying more would buy nothing the task needs.","The most capable model available, since product data quality ultimately affects revenue","Tempting because revenue impact sounds like a quality mandate, but the spot checks already showed no accuracy difference between tiers on this task. Spending the premium across thousands of daily items purchases zero measured improvement — stakes rhetoric can't override evidence.",Alternate between tiers day by day to average out the cost while retaining some top-tier quality,"Alternating tiers produces inconsistent latency and cost with no principled basis, and the top-tier days still buy no measured quality gain. Selection should follow the task's requirements, not split the difference between two answers.","The balanced mid-tier model, as a hedge in case some product descriptions turn out to be ambiguous","Hedging with the mid-tier pays a permanent premium against a hypothetical, when the evidence in hand says the light model handles the real distribution. If ambiguous cases emerge, the targeted fix is routing those few items upward, not upgrading the entire volume.",,,,,1,"Choose the cheapest tier that meets the measured quality bar: when testing shows tier-equivalent quality on simple high-volume work, the economical model is the correct choice.",Product and Model Selection
"Marcus, an HR lead at a national retail chain, is evaluating a proposed use case: a Claude Project that helps store managers answer new-hire onboarding questions. He has a folder of interview notes from store managers and the current onboarding manual. Which two actions best use Claude to analyze this use case before building anything? (Choose two.)",multi-select,Share the interview notes and ask Claude to summarize the recurring pain points and generate clarifying questions to take back to store managers,"Correct. Turning raw stakeholder input into themes and follow-up questions is a core requirements-analysis move: Claude accelerates the synthesis, and the clarifying questions drive a better second round with the actual stakeholders.","Ask Claude to review the onboarding manual against the interview notes and flag gaps, ambiguities, or conflicts the use case would need to handle","Correct. Comparing the source material against real user needs exposes exactly where the use case will strain — missing policies, contradictory guidance, ambiguous rules. Finding these gaps before building is the point of use-case analysis.",Ask Claude to confirm that the project will succeed so he can include that assurance in his pitch to the HR director,"Tempting because a confident endorsement would strengthen the pitch, but Claude cannot predict organizational outcomes and will simply generate plausible-sounding agreement. Treating that as evidence is using the model as an oracle rather than an analysis tool.","Defer all analysis until after launch, since real usage data will reveal the requirements more accurately than any upfront review","Tempting because usage data is genuinely valuable, but launching with unexamined requirements means the first version answers questions from a manual known to have gaps. Post-launch learning complements upfront analysis; it does not replace it.",,,,,"1,2","Use Claude to synthesize stakeholder input and expose gaps before building: summarizing pain points, generating clarifying questions, and flagging conflicts between sources are the analysis moves that make the eventual solution match reality.",Workflow Integration and Solution Design
