Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Your release pipeline replaced local Docker builds with `az acr build --registry ttnacr --image inference-api:2026.04.1 .`. The command reports ""Run ID: ca7 was successful"", and `az acr repository show-tags` lists the new tag, but the Azure App Service hosting the API is still serving the previous build forty minutes later. What is the correct explanation?",multiple-choice,`az acr build` only runs a cloud build and pushes the resulting image to the registry; the App Service must still be pointed at the new tag before it pulls anything,"Correct. ACR Tasks is a build service, not a deployment service: `az acr build` uploads the context, builds in the cloud, and pushes the image. Build and deploy are separate steps, so the pipeline still needs a `az webapp config container set` (or a restart, if the tag is unchanged) for the app to pull the new digest.","ACR Tasks pushes manifests asynchronously, so the image is unusable until background replication finishes and the app will pick it up on its own","Tempting because geo-replicated registries do replicate in the background, but a push completes synchronously against the home region and the tag is immediately pullable there. Replication would also not stop a same-region App Service from pulling, so it cannot explain a stalled deployment.","The pushed manifest stays untagged until `az acr repository update` promotes it, so App Service cannot resolve `inference-api:2026.04.1` yet","This invents a promotion step that does not exist. `az acr build --image name:tag` pushes the image already tagged, and `az acr repository update` only changes repository attributes such as write/delete/list-enabled — it has no role in making a pushed tag resolvable.","App Service continuous deployment only ever reacts to the `latest` tag, so a version-numbered tag can never be deployed to a Web App for Containers","This overstates a real feature. The continuous-deployment webhook that `DOCKER_ENABLE_CI` wires up fires for whichever tag the app is configured to run, including version tags; the reason nothing happened here is that the app was never told about the new tag at all.",,,,,1,`az acr build` performs a cloud build and pushes to the registry — nothing more. A pipeline must follow it with an explicit deployment step that points App Service at the new tag or digest.,Develop containerized solutions on Azure
"During an audit it emerges that the App Service hosting a transcription API pulls its image using the ACR admin account, whose username and password are stored in the app's container settings. The auditors want no registry credentials in application configuration, while deployments must keep working unattended. What should you implement?",multiple-choice,"Enable a managed identity on the Web App, grant it the AcrPull role on the registry, and configure the app to use managed-identity credentials for the registry","Correct. A managed identity removes the credential entirely: Azure issues and rotates the identity's tokens, the AcrPull role grants exactly the pull permission needed, and the platform authenticates to ACR on the app's behalf. Nothing secret remains in the app's configuration, which is precisely the audit requirement.",Rotate the ACR admin password on a schedule with an automation runbook that rewrites the app's container settings after each rotation,"Rotation reduces the blast radius of a leak but does not satisfy the requirement, because a credential still lives in application configuration between rotations. It also adds a fragile moving part: any failure of the runbook breaks image pulls at the worst possible moment.","Create an ACR token with a scope map limited to pull, and store the token password in the app's container settings instead of the admin password","Scoped tokens are a genuine improvement over the admin account for third parties who cannot use Entra identities, and least-privilege pull scope is the right instinct. But it is still a password stored in app configuration, so the audit finding stands unaddressed.",Make the registry publicly readable by enabling anonymous pull access so no credentials are needed for the deployment at all,"Anonymous pull exists for public content distribution, and using it here would expose a private inference image containing proprietary code and model artefacts to the internet. Removing authentication is not the same as removing stored credentials.",,,,,1,Give the Web App a managed identity with the AcrPull role and configure the app to authenticate to the registry with it. Tokens and admin passwords still leave a stored credential behind.,Develop containerized solutions on Azure
"A three-person team must host one stateless containerized REST API that wraps Azure OpenAI. Traffic is steady during business hours, there is a single container image, no background workers, and no service-to-service mesh requirement. They want custom domains, TLS, autoscale and staged releases with as little platform operations work as possible. Which hosting choice fits best?",multiple-choice,Azure App Service (Web App for Containers) with a deployment slot for staging,"Correct. A single always-on HTTP container with steady traffic is the textbook App Service case: managed TLS and custom domains, plan-level autoscale, and a staging slot that swaps into production give staged releases without any orchestrator concepts to learn or operate.","Azure Kubernetes Service with a Deployment, Service and Ingress controller they manage themselves","AKS would deliver everything asked for, but at the cost of node pools, upgrades, ingress controllers and cluster monitoring that a three-person team must then own. Choosing it here is over-engineering: the workload has none of the multi-service, custom-scheduling or CRD requirements that justify a cluster.",Azure Container Apps with a dedicated workload profile and multiple-revision mode,"Container Apps is a strong fit for event-driven or scale-to-zero microservices, and its revisions give elegant traffic splitting. For one steady always-on HTTP API, though, it adds an environment and revision model without solving a problem App Service does not already solve more simply.",Azure Container Registry Tasks running the container directly with `az acr run` on a schedule,"`az acr run` executes build and task steps inside the registry's build environment; it is tooling for producing images, not a hosting platform. Nothing about it provides custom domains, TLS termination, autoscale or a public endpoint.",,,,,1,"For one stateless HTTP container with steady traffic and a small team, App Service with a staging slot is the simplest fit. Container Apps and AKS earn their complexity only when the workload needs it.",Develop containerized solutions on Azure
"A containerized reranker loads a 1.2 GB model into memory at process start, which takes about four minutes. On App Service the container is repeatedly reported unhealthy and recycled, and the log stream ends with ""Container didn't respond to HTTP pings on port 8000, failing site start"" roughly four minutes after each attempt. What is the correct remedy?",multiple-choice,Raise `WEBSITES_CONTAINER_START_TIME_LIMIT` above the real warm-up time so the platform waits for the model to finish loading,Correct. App Service waits a bounded time for the container to answer its startup ping and recycles it otherwise; the default window is shorter than this model's four-minute load. Setting `WEBSITES_CONTAINER_START_TIME_LIMIT` to a value comfortably above the measured warm-up makes the platform's expectation match reality.,Move the model load into the request handler so the container binds its port immediately and warms up lazily on first traffic,"Deferring the load does let the port bind quickly, and it is a legitimate technique in some designs, but it moves a four-minute stall onto an unlucky user's request and risks several concurrent requests each triggering a load. It changes who suffers the wait rather than configuring the platform correctly.",Enable Always On so the platform stops recycling the container between requests while the model is loading,"Always On keeps the app from being unloaded during idle periods, which is about inactivity rather than startup. The container here is being killed while actively starting, so the setting does not intersect the failure at all.",Scale the App Service plan out to three instances so at least one instance has finished warming up at any moment,More instances means more containers each independently failing the same startup ping — the fleet never converges on a healthy state. Scaling multiplies a per-instance startup problem instead of resolving it.,,,,,1,Measure the real warm-up time and raise `WEBSITES_CONTAINER_START_TIME_LIMIT` past it. The container is healthy; the platform's default patience is simply shorter than the model load.,Develop containerized solutions on Azure
"A support-assistant API on App Service must move to a new image version with no visible downtime, and the team wants a few minutes of smoke testing against production-grade configuration before customers reach the new build, plus a fast way back if error rates rise. The staging environment must keep its own Azure OpenAI deployment name. What should they configure?",multiple-choice,"Deploy the new image to a staging slot, mark the deployment-name app setting as a slot setting, verify, then swap — and swap back if metrics degrade","Correct. Slots give a fully warmed instance of the app on the same plan, the swap exchanges routing rather than redeploying, and swapping back restores the previous build in seconds. Marking the deployment-name setting as a slot setting keeps it pinned to its environment so the staging value does not follow the code into production.",Update the production app's container tag directly and rely on the App Service plan's rolling restart across instances to avoid downtime,"Changing the tag in place restarts the app with no warmed replacement waiting, so requests are served by containers that are still pulling and loading a model. There is also no fast rollback beyond another in-place change with the same disruption.",Create a second Web App with the new image and repoint the custom domain's DNS record once smoke tests pass,"A second app with a DNS cutover is a workable pattern in general, but DNS TTL and client-side caching make both the cutover and the rollback slow and only partly under your control. Slots achieve the same isolation with an instant, deterministic routing switch.",Scale the production app to six instances before updating the tag so some instances continue serving the old image during the pull,"Overprovisioning does not stagger anything by itself: the platform will move all instances to the new configuration, and having more of them simply means more simultaneous cold pulls. It is a capacity change dressed up as a release strategy.",,,,,1,"Use a staging slot, mark environment-specific settings as slot settings, verify, then swap — with a swap back as rollback. Warmed-environment swapping beats mutating production in place.",Develop containerized solutions on Azure
"A partner integrator must pull exactly one repository, `partner/scoring-api`, from your Premium registry, with read-only access, an expiry date, and credentials that can be revoked without affecting your own pipelines. Which two registry features together deliver this? (Choose two.)",multi-select,Create a scope map that grants only `content/read` on the `partner/scoring-api` repository,"Correct. A scope map is the permission definition: it enumerates repositories and the actions allowed on each, so granting only `content/read` on a single repository expresses read-only, single-repository access precisely rather than registry-wide.","Create a registry token bound to that scope map, with generated passwords carrying an expiration date","Correct. A token is the identity bound to that scope map, and its generated passwords can be given an expiry and be regenerated or the token disabled independently. Revoking it affects only the partner, leaving your own pipelines' credentials untouched.",Share the registry admin account credentials with the partner and rotate the password after the engagement,"The admin account is a single registry-wide credential with full push and pull rights, so sharing it grants far more than one repository and cannot be revoked without breaking everything else that uses it. It is the anti-pattern this feature pair exists to replace.",Grant the partner's Entra tenant the AcrPush role on the registry so their pipeline can synchronise the repository,"AcrPush grants write access, which contradicts the read-only requirement, and cross-tenant role assignment is a much heavier mechanism than the scenario needs. Least privilege here means read on one repository, not push on the registry.",,,,,"1,2","Define a scope map with `content/read` on the single repository and issue a token bound to it with expiring passwords. That is repository-scoped, revocable, read-only access.",Develop containerized solutions on Azure
"A retrieval API runs on Azure Container Apps and is about to receive a reranking model change that the team wants exposed to 10 percent of live traffic for two hours before full rollout, with an instant return to the current build if latency regresses. Which two actions implement this? (Choose two.)",multi-select,Put the container app into multiple-revision mode so the existing and new revisions can be active at the same time,"Correct. In single-revision mode each update deactivates the previous revision, so there is nothing to split traffic with. Multiple-revision mode keeps both revisions running and addressable, which is the precondition for any canary or blue/green rollout in Container Apps.","Split ingress traffic across the two revisions with weights of 90 and 10, then shift the weights once the canary is healthy","Correct. `az containerapp ingress traffic set` assigns percentage weights per revision, so 90/10 sends a tenth of live traffic to the canary. Rollback is a single weight change back to 100 percent on the known-good revision, which is the instant reversal the team asked for.",Deploy the new image to a second container app in the same environment and split traffic between them with Azure Front Door,"A second app plus Front Door does produce weighted routing, but it duplicates configuration, secrets and scale rules across two resources and puts the rollback behind an edge configuration change. Container Apps already provides revision-level traffic weights natively for exactly this case.",Set `minReplicas` to zero on the new revision so it only receives traffic after the old revision saturates,`minReplicas` controls the lower bound of the scaler for a revision; it has no relationship to traffic distribution and does not create any overflow or failover behaviour. A revision with zero minimum replicas still receives whatever share of traffic its weight assigns.,,,,,"1,2",Enable multiple-revision mode and set ingress traffic weights of 90/10 between the current and new revisions. Rollback is then a weight change rather than a redeploy.,Develop containerized solutions on Azure
"After applying an updated Deployment manifest to AKS, four of ten pods stay `Pending`. `kubectl describe pod` shows the event `0/3 nodes are available: 3 Insufficient cpu`. The manifest requests `cpu: ""2""` per pod and the node pool uses three Standard_D4s_v5 nodes. What is the correct interpretation and fix?",multiple-choice,"The scheduler cannot place pods whose CPU requests exceed remaining allocatable capacity; add nodes or the cluster autoscaler, or lower the requests to match real usage","Correct. `Insufficient cpu` is a scheduling verdict based on requests, not on actual utilisation: the sum of requested CPU across placed pods leaves less than 2 cores allocatable on every node. Either grow capacity — more nodes, larger SKUs, or the cluster autoscaler — or right-size the requests to what the workload really consumes.","The pods are failing their readiness probes, so the scheduler is holding them in Pending until the probe succeeds","Readiness probes only run once a pod is scheduled and its containers are starting; a failing probe produces a Running pod that is not Ready, never a Pending one. The described event also comes from the scheduler, not the kubelet.","The image cannot be pulled from ACR, and Pending is how AKS reports a registry authorization failure before the pull is attempted","An authorization failure against the registry surfaces as `ImagePullBackOff` or `ErrImagePull` on a scheduled pod, with an event naming the registry. Pending with an `Insufficient cpu` message is emitted before any node is selected, so no pull has been attempted.","The Deployment's `maxSurge` is too high, so the rollout is deliberately holding the extra pods back until older pods terminate","`maxSurge` does allow extra pods above the desired count during a rollout, and those surge pods still need somewhere to run. It controls rollout pacing rather than admission, and it never produces an `Insufficient cpu` scheduling event.",,,,,1,`Insufficient cpu` means requested CPU exceeds allocatable capacity. Add capacity or right-size the requests — probes and image pulls play no part in a Pending scheduling decision.,Develop containerized solutions on Azure
"A platform team must host six related services: three HTTP APIs, two Service Bus queue workers that should scale to zero overnight, and a scheduled batch job. They need service-to-service calls inside a private network, per-service revisions and canary releases, and they have no Kubernetes operators, custom resource definitions or GPU node pools in their requirements. Which platform should they choose?",multiple-choice,"Azure Container Apps, using one environment for all services with KEDA scale rules and revision-based canaries","Correct. Everything on the list — private service-to-service networking inside a shared environment, KEDA-driven scale to zero for queue workers, revisions with traffic weights, and event-driven or scheduled jobs — is native to Container Apps, and none of it requires managing a cluster. With no CRD, operator or GPU-scheduling requirement, the extra control of AKS buys nothing.","Azure Kubernetes Service, because six interdependent services on one virtual network require a Kubernetes control plane","Multiple services on a private network is not on its own a reason to adopt Kubernetes; Container Apps environments already provide that boundary. Choosing AKS here imports node pool lifecycle, upgrades and ingress operations that the team has no requirement to justify.","Six separate App Service plans, one per service, connected by virtual network integration","One plan per service multiplies cost and management, App Service has no native scale-to-zero for queue-driven workers, and the scheduled job has no natural home. It stretches a single-app platform across a multi-service topology it was not designed for.",Azure Container Registry Tasks scheduled with timer triggers to execute each service on a cadence,"ACR Tasks builds container images; a timer-triggered task is a build pipeline, not a hosting platform. None of the HTTP APIs would have an endpoint, and the queue workers would have no scaler.",,,,,1,"Container Apps in a single environment covers private service-to-service calls, KEDA scale to zero, revisions and jobs. AKS is warranted only when cluster-level control such as operators, CRDs or custom scheduling is genuinely required.",Develop containerized solutions on Azure
"A chat completion endpoint on Container Apps holds each request open for six to nine seconds while streaming tokens. Under load, replicas sit at 20 percent CPU yet p95 latency climbs sharply and clients see queuing. The team wants scaling that reflects how this workload actually saturates. Which scale rule is most appropriate?",multiple-choice,"An HTTP scale rule with a modest `concurrentRequests` target, so replicas are added as in-flight requests per replica rise","Correct. The workload is latency-bound rather than compute-bound: each replica is mostly waiting on an upstream model, so concurrent in-flight requests — not CPU — is what saturates it. The Container Apps HTTP scaler adds replicas when concurrent requests per replica exceed the target, which matches the real saturation signal.","A CPU scale rule targeting 60 percent utilisation, because CPU is the canonical signal for HTTP services","CPU is the reflexive choice and works well for compute-heavy services, but here it stays near 20 percent while the app is clearly overloaded. A metric that does not move under saturation cannot trigger scaling in time.","A memory scale rule targeting 75 percent, since streaming responses accumulate buffers in memory","Memory scaling responds to a resource that is not the constraint; streaming a token buffer consumes very little, so the threshold would never be crossed. It would leave the app under-scaled for the same reason as CPU.",A KEDA `azure-servicebus` scale rule keyed to a queue the API writes each request to before responding,"Inserting a queue in front of a synchronous streaming endpoint changes the architecture rather than the scaling policy, and it would add latency to an interaction whose whole value is immediacy. Queue-depth scaling belongs to genuinely asynchronous workers.",,,,,1,"Use an HTTP `concurrentRequests` scale rule. Streaming endpoints are latency-bound, so concurrency per replica — not CPU or memory — is the signal that reflects saturation.",Develop containerized solutions on Azure
