Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A retailer proposes rolling a customer-facing agent to 20 million users before measuring task completion, latency, safety, or cost with realistic traffic. What should the team do first?",multiple-choice,Build a bounded proof of concept with explicit success and failure criteria,Correct. This choice applies the key production rule: a proof of concept validates feasibility quality cost and risk before scale.,Purchase provisioned throughput for peak traffic immediately,Incorrect. Choosing Purchase provisioned throughput for peak traffic immediately addresses a related concern but misses the decisive constraint. The required design follows the rule that a proof of concept validates feasibility quality cost and risk before scale.,Fine-tune the largest model before establishing a baseline,Incorrect. Choosing Fine-tune the largest model before establishing a baseline addresses a related concern but misses the decisive constraint. The required design follows the rule that a proof of concept validates feasibility quality cost and risk before scale.,Skip evaluation because managed models are already production ready,Incorrect. Choosing Skip evaluation because managed models are already production ready addresses a related concern but misses the decisive constraint. The required design follows the rule that a proof of concept validates feasibility quality cost and risk before scale.,,,,,1,"The decisive production principle is that a proof of concept validates feasibility quality cost and risk before scale. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
"A manufacturer wants a maintenance copilot but has no reliable maintenance corpus, no labeled outcome data, and no agreement on which technician workflow it should improve. What should architecture discovery prioritize?",multiple-choice,Define the target workflow and assess source-data readiness before selecting a model,Correct. This choice applies the key production rule: business workflow and data feasibility precede model and orchestration choices.,Select the model with the largest context window first,Incorrect. Choosing Select the model with the largest context window first addresses a related concern but misses the decisive constraint. The required design follows the rule that business workflow and data feasibility precede model and orchestration choices.,Build a multi-agent system before interviewing technicians,Incorrect. Choosing Build a multi-agent system before interviewing technicians addresses a related concern but misses the decisive constraint. The required design follows the rule that business workflow and data feasibility precede model and orchestration choices.,Commit to custom training because data quality can be fixed later,Incorrect. Choosing Commit to custom training because data quality can be fixed later addresses a related concern but misses the decisive constraint. The required design follows the rule that business workflow and data feasibility precede model and orchestration choices.,,,,,1,"The decisive production principle is that business workflow and data feasibility precede model and orchestration choices. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
"A legal-document generator has a mandatory approval step, regional data residency, and a recovery-time objective of fifteen minutes. Which two artifacts should the architecture produce before implementation? (Choose two.)",multi-select,A data-flow and trust-boundary design showing residency and access,Correct. This choice applies the key production rule: architecture artifacts must make security boundaries and recovery behavior explicit.,A failure-mode and recovery design mapped to the RTO,Correct. This choice applies the key production rule: architecture artifacts must make security boundaries and recovery behavior explicit.,Only a model benchmark leaderboard,Incorrect. Choosing Only a model benchmark leaderboard addresses a related concern but misses the decisive constraint. The required design follows the rule that architecture artifacts must make security boundaries and recovery behavior explicit.,Only a list of prompt examples,Incorrect. Choosing Only a list of prompt examples addresses a related concern but misses the decisive constraint. The required design follows the rule that architecture artifacts must make security boundaries and recovery behavior explicit.,,,,,"1,2","The decisive production principle is that architecture artifacts must make security boundaries and recovery behavior explicit. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
"An application hardcodes provider-specific request schemas throughout business logic, making a model change require edits to twelve services. Which pattern improves flexibility?",multiple-choice,Place a stable model abstraction behind routing configuration such as AppConfig,Correct. This choice applies the key production rule: a configurable abstraction decouples callers from model providers.,Copy provider conditionals into every caller,Incorrect. Choosing Copy provider conditionals into every caller addresses a related concern but misses the decisive constraint. The required design follows the rule that a configurable abstraction decouples callers from model providers.,Store provider names only in prompt text,Incorrect. Choosing Store provider names only in prompt text addresses a related concern but misses the decisive constraint. The required design follows the rule that a configurable abstraction decouples callers from model providers.,Create one Lambda function per individual user,Incorrect. Choosing Create one Lambda function per individual user addresses a related concern but misses the decisive constraint. The required design follows the rule that a configurable abstraction decouples callers from model providers.,,,,,1,"The decisive production principle is that a configurable abstraction decouples callers from model providers. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
A team needs to adapt a large model to internal terminology with limited GPU memory and wants to avoid updating all model weights. Which technique is appropriate?,multiple-choice,Parameter-efficient adaptation such as LoRA,Correct. This choice applies the key production rule: LoRA adapts a model through a small number of trainable parameters.,Full pre-training from random initialization,Incorrect. Choosing Full pre-training from random initialization addresses a related concern but misses the decisive constraint. The required design follows the rule that LoRA adapts a model through a small number of trainable parameters.,Increasing inference temperature,Incorrect. Choosing Increasing inference temperature addresses a related concern but misses the decisive constraint. The required design follows the rule that LoRA adapts a model through a small number of trainable parameters.,Replacing vector search with exact keyword matching,Incorrect. Choosing Replacing vector search with exact keyword matching addresses a related concern but misses the decisive constraint. The required design follows the rule that LoRA adapts a model through a small number of trainable parameters.,,,,,1,"The decisive production principle is that LoRA adapts a model through a small number of trainable parameters. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
A product is deployed in regions where the preferred model is unavailable and customer data cannot cross jurisdiction boundaries. What is the correct selection approach?,multiple-choice,Choose compliant region-available models and validate fallback equivalence,Correct. This choice applies the key production rule: regional availability and data residency are hard selection constraints.,Use cross-region inference even when it violates residency,Incorrect. Choosing Use cross-region inference even when it violates residency addresses a related concern but misses the decisive constraint. The required design follows the rule that regional availability and data residency are hard selection constraints.,Copy proprietary weights without provider support,Incorrect. Choosing Copy proprietary weights without provider support addresses a related concern but misses the decisive constraint. The required design follows the rule that regional availability and data residency are hard selection constraints.,Ignore residency because inference is transient,Incorrect. Choosing Ignore residency because inference is transient addresses a related concern but misses the decisive constraint. The required design follows the rule that regional availability and data residency are hard selection constraints.,,,,,1,"The decisive production principle is that regional availability and data residency are hard selection constraints. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
"A multimodal claims workflow receives PDFs, photographs, call audio, and structured policy records. Which processing design is most appropriate?",multiple-choice,Use modality-specific extraction then normalize into a governed common representation,Correct. This choice applies the key production rule: multimodal pipelines need specialized processing and normalized traced outputs.,Convert every input to CSV without preserving provenance,Incorrect. Choosing Convert every input to CSV without preserving provenance addresses a related concern but misses the decisive constraint. The required design follows the rule that multimodal pipelines need specialized processing and normalized traced outputs.,Send raw binary from every format in one text prompt,Incorrect. Choosing Send raw binary from every format in one text prompt addresses a related concern but misses the decisive constraint. The required design follows the rule that multimodal pipelines need specialized processing and normalized traced outputs.,Discard metadata after extraction,Incorrect. Choosing Discard metadata after extraction addresses a related concern but misses the decisive constraint. The required design follows the rule that multimodal pipelines need specialized processing and normalized traced outputs.,,,,,1,"The decisive production principle is that multimodal pipelines need specialized processing and normalized traced outputs. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
"A pipeline must reject records missing consent metadata, quarantine invalid media, and emit a metric when failure rate exceeds 2%. Which two elements are required? (Choose two.)",multi-select,Schema and business-rule validation with quarantine routing,Correct. This choice applies the key production rule: quality gates need deterministic routing and observable failure thresholds.,CloudWatch metrics and alarms for validation failures,Correct. This choice applies the key production rule: quality gates need deterministic routing and observable failure thresholds.,A longer model output limit,Incorrect. Choosing A longer model output limit addresses a related concern but misses the decisive constraint. The required design follows the rule that quality gates need deterministic routing and observable failure thresholds.,Random sampling that silently drops invalid records,Incorrect. Choosing Random sampling that silently drops invalid records addresses a related concern but misses the decisive constraint. The required design follows the rule that quality gates need deterministic routing and observable failure thresholds.,,,,,"1,2","The decisive production principle is that quality gates need deterministic routing and observable failure thresholds. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
A team uses an FM to rewrite source documents before indexing but never compares semantic meaning before and after transformation. What risk must be controlled?,multiple-choice,Transformation can introduce semantic drift or fabricated content,Correct. This choice applies the key production rule: quality enhancement must validate semantic fidelity not just formatting.,The embedding model will automatically restore original meaning,Incorrect. Choosing The embedding model will automatically restore original meaning addresses a related concern but misses the decisive constraint. The required design follows the rule that quality enhancement must validate semantic fidelity not just formatting.,A larger context window guarantees fidelity,Incorrect. Choosing A larger context window guarantees fidelity addresses a related concern but misses the decisive constraint. The required design follows the rule that quality enhancement must validate semantic fidelity not just formatting.,Schema validity proves factual equivalence,Incorrect. Choosing Schema validity proves factual equivalence addresses a related concern but misses the decisive constraint. The required design follows the rule that quality enhancement must validate semantic fidelity not just formatting.,,,,,1,"The decisive production principle is that quality enhancement must validate semantic fidelity not just formatting. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
"Search results must prefer documents effective today, authored by the requesting business unit, and permitted for the user's region. What enables this precision?",multiple-choice,Rich metadata fields and authorization-aware filtering,Correct. This choice applies the key production rule: metadata filtering adds business context and security to semantic similarity.,Only increasing embedding dimensions,Incorrect. Choosing Only increasing embedding dimensions addresses a related concern but misses the decisive constraint. The required design follows the rule that metadata filtering adds business context and security to semantic similarity.,Only lowering model temperature,Incorrect. Choosing Only lowering model temperature addresses a related concern but misses the decisive constraint. The required design follows the rule that metadata filtering adds business context and security to semantic similarity.,Deleting document timestamps,Incorrect. Choosing Deleting document timestamps addresses a related concern but misses the decisive constraint. The required design follows the rule that metadata filtering adds business context and security to semantic similarity.,,,,,1,"The decisive production principle is that metadata filtering adds business context and security to semantic similarity. Applying it addresses the explicit architecture, quality, security, or operational signal in the scenario.","Foundation Model Integration, Data Management, and Compliance"
