Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A hospital network's innovation team is debating whether their clinical-documentation assistant should be a multi-step workflow or a tool-using agent. The debate has run for three weeks, and no one has stated what a successful pilot would look like or how current documentation time and error rates compare. As the consulting architect, what should you do first?",multiple-choice,Pause the pattern debate and define measurable success criteria and a baseline for documentation time and error rate,"Correct. Success criteria and a measured baseline come before architecture: without them, no pattern can be evaluated, the pilot cannot prove value, and the team is optimizing against an undefined target. This applies the principle of framing measurable outcomes before choosing a design.","Recommend the workflow pattern, since healthcare compliance requirements favor predictable, auditable step sequences","Tempting because the compliance argument is real, but it answers the wrong question first. Choosing a pattern before defining what success means just relocates the debate; you still cannot tell whether the workflow met the goal because no goal exists.",Build small prototypes of both patterns and let clinician feedback on the demos decide which architecture to pursue,"Prototyping feels empirical, but demos judged on impressions rather than defined metrics reward whichever prototype feels slicker. Without success criteria, clinician feedback cannot be compared against the business outcome, so the effort risks being a more expensive version of the same stalled debate.","Recommend the agent pattern, since clinical documentation varies too much per patient for predefined steps to cover","Tempting because variability is a genuine argument for agency, but it commits the same error as option B: selecting an architecture before the problem's success measures are framed. Agency also raises cost and error surface, which cannot be justified against an undefined target.",,,,,1,Define measurable success criteria before choosing architecture. Business-problem translation makes success measurable first so every later architectural trade-off has something to be weighed against.,Solution Design & Architecture
"A B2B SaaS company tells its architect only that 'support costs are too high' and asks for a Claude solution. Ticket data shows 40% of tickets are password resets and billing lookups already answerable by existing self-service tools, 35% are how-to questions answered from documentation, and 25% are ambiguous multi-system issues requiring senior engineers. Where should the architect focus the Claude proposal?",multiple-choice,"The 25% ambiguous tickets, since they cost the most per ticket and advanced reasoning is where Claude differentiates most","Tempting because per-ticket cost is highest there, but ambiguous multi-system issues are the hardest to automate reliably, have no clean success criteria, and would need senior-engineer review anyway. Starting at the hardest segment is a high-risk translation of the business problem.","All three segments with one assistant, since a unified entry point maximizes deflection across the whole ticket volume","A unified assistant sounds efficient, but it ignores that the segments need different solutions — one of which already exists. Building LLM handling for tickets that deterministic self-service resolves duplicates capability and dilutes effort, violating the simplest-solution principle.","The 35% how-to segment with retrieval over documentation, while routing the 40% segment to existing self-service tools","Correct. It matches each segment to the right mechanism: how-to questions are a strong retrieval-augmented LLM fit with measurable deflection, while the reset and billing segment needs routing to existing tools, not a new model. The principle is mapping problem segments to the cheapest mechanism that resolves each.","The 40% segment first, since it is the largest share of volume and therefore offers the biggest cost reduction opportunity","Tempting because volume looks like opportunity, but those tickets are already solvable by existing deterministic tools — the gap is discoverability or routing, not capability. Applying an LLM there is a tech-led answer to a process problem and adds cost where a redirect suffices.",,,,,3,Segment the problem and apply the LLM only where it is the cheapest adequate mechanism. Translating a vague cost complaint into an architecture requires decomposing the demand data before selecting any AI component.,Solution Design & Architecture
"A retail chain feeds supplier invoices through OCR and then to Claude for line-item extraction. Accuracy is strong on clean scans but collapses on a subset of invoices where OCR output is garbled, duplicated, or missing whole regions. The team's first instinct is to upgrade to a more capable model. What should the architect recommend for the pipeline?",multiple-choice,"Upgrade the extraction stage to Opus, since a stronger model can better reconstruct intended content from degraded OCR text","Tempting because model capability does correlate with robustness, but when input regions are missing or duplicated, no model can recover information that never arrived. Paying Opus prices to guess at absent data treats the symptom; the defect is upstream of the model.",Have Claude attempt extraction on all inputs but attach a self-reported confidence score that downstream systems can filter on,"Confidence scores are a useful signal, but self-reported confidence on garbled input is itself unreliable, and this design still lets the model produce guesses from broken data. It manages bad output downstream instead of preventing bad input upstream, inverting the pipeline's quality gates.",Prompt Claude to first repair the garbled OCR text and then extract line items from its own repaired version in the same call,"Tempting because repair-then-extract sometimes helps mild noise, but asking the model to invent missing invoice regions and then extract from its own invention manufactures plausible, unverifiable line items. That is the most dangerous failure mode for financial data — confident fabrication.",Add an input-quality gate before the model stage that scores OCR output and routes degraded documents to re-scanning or manual keying,"Correct. Garbage in, garbage out: the architecture needs input validation before the processing stage. A quality gate keeps unrecoverable documents out of the model path and routes them to a channel that can actually fix them, which is the standard preprocessing pattern for pipelines fed by lossy capture steps.",,,,,4,"Validate and gate input quality before the model stage. End-to-end architecture assigns each failure mode to the stage that can actually correct it, starting at input.",Solution Design & Architecture
"A public records office uses a Claude pipeline to convert scanned historical filings into structured registry entries. Recent output audits show two problems: some entries are missing required fields or use invalid date formats, and some entries with subtle transcription errors are entering the registry unnoticed. The architect must harden the pipeline without stalling throughput. Which two changes best address these findings? (Choose two.)",multi-select,Migrate the transcription stage to Opus so a more capable model reduces both structural and transcription errors at the source,"Tempting because a stronger model lowers error rates, but it is a probabilistic mitigation for both problems and guarantees neither: malformed entries can still occur without a hard gate, and subtle errors still pass unnoticed without review. It also raises cost across all documents, including easy ones.",Add a deterministic schema-validation stage that rejects entries with missing fields or malformed dates before registry insertion,"Correct. Missing fields and bad date formats are mechanically checkable, so a deterministic schema gate at the output boundary eliminates that entire error class with certainty and near-zero cost. This applies the principle that structural validity is enforced in code, not hoped for from the model.",Re-run every document through the pipeline twice and only accept entries when both runs produce identical output,"Tempting because agreement between runs signals stability, but doubling every document doubles cost and latency against the stated throughput constraint, and two runs can agree on the same transcription mistake. Consistency checking is a weak proxy for correctness on this error type.","Route entries the model flags as low-confidence, plus a sampled share of the rest, to a human review queue before insertion","Correct. Subtle transcription errors have no mechanical oracle, so the right control is targeted human review: confidence-based routing concentrates attention where errors are likely, and sampling provides an ongoing quality signal — a feedback loop — without reviewing everything and stalling throughput.",,,,,"2,4",Pair deterministic gates for checkable errors with targeted human review for fuzzy ones. Robust pipelines layer different validation mechanisms by error type rather than seeking one control that catches everything.,Solution Design & Architecture
"A SaaS help desk receives queries that fall into clearly distinct categories: billing questions needing account-system lookups, technical troubleshooting needing product documentation, and cancellation requests needing a retention script and human handoff. One general prompt handles all three mediocrely — improving instructions for one category degrades the others. What pattern fits this situation?",multiple-choice,Parallelization: send each query to three specialized prompts simultaneously and select the strongest response by a voting step,"Tempting because specialized prompts do appear in this design, but running all three on every query triples cost and latency to answer a question — which category is this? — that a cheap classifier settles up front. Parallelization pays off for aggregating diverse perspectives, not for category dispatch.",Evaluator-optimizer: keep the general prompt but add a critique-and-refine loop so weak first drafts are iteratively improved,"An evaluator loop polishes outputs against quality criteria, but the stem describes a separation-of-concerns problem: the categories interfere within one prompt. Refining a draft from a conflicted prompt adds cost per query without removing the interference, treating the symptom rather than the structure.","Routing: a lightweight classification step directs each query to a dedicated prompt, toolset, and handling path per category","Correct. Distinct input categories that each need different instructions, tools, and downstream handling — and that degrade each other when merged — are precisely the routing pattern's use case. Classification separates concerns so each path can be optimized independently, and the classifier itself can be a fast, cheap model.",Agent: give one model all three toolsets and let it determine per query which category applies and which tools to invoke,"Tempting because an agent would implicitly route via tool choice, but this buys the dispatch decision at the price of an autonomous loop: more tokens, variable latency, and less predictable handling of sensitive paths like cancellations. When categories are clean and enumerable, explicit routing is the simpler, more controllable mechanism.",,,,,3,Route distinct input categories to specialized paths instead of one conflicted prompt. The named workflow patterns each solve a specific structural problem; recognizing category interference as routing's signature is a core selection skill.,Solution Design & Architecture
"A city government translates public notices into five languages. Certified reviewers rejected too many first-pass machine translations for terminology and register problems, though they agree the errors are objectively identifiable against the city's style guide and glossary. Notices are published on a weekly cycle, so a few minutes of extra processing per notice is acceptable. Which pattern best fits?",multiple-choice,"Evaluator-optimizer: a generator model translates, an evaluator model critiques against the glossary and style guide, and the loop repeats until the critique passes","Correct. The stem states the two preconditions for evaluator-optimizer: articulable evaluation criteria (glossary and style guide) and demonstrated value from iterative refinement (reviewers catch fixable issues). The weekly cycle tolerates loop latency, so the pattern's cost lands where the business can afford it.",Parallelization with voting: several models translate the same notice independently and the version most consistent across outputs is published,"Tempting because ensembles raise average quality, but voting selects among first drafts rather than fixing any of them — the shared terminology and register errors the reviewers flag would survive in every candidate. It also multiplies translation cost without applying the style guide anywhere.",Routing: classify each notice by subject area and send it to a translation prompt specialized for that department's terminology,"Routing by subject would help if the problem were category interference between departments' terminology, but the diagnosis is first-pass quality falling short of criteria that iteration against the guide can satisfy. Specialized prompts still produce unreviewed single drafts, leaving the rejection rate largely intact.","An agent with glossary and style-guide lookup tools that translates iteratively, checking terms as it goes and revising autonomously","Tempting because tool-checking terms sounds rigorous, but translation is a predictable transform, not an open-ended problem needing autonomous direction. A workflow loop under code control achieves the same generate-critique-revise cycle with more predictability and less cost than a self-directing agent.",,,,,1,Use evaluator-optimizer when clear criteria exist and iteration demonstrably improves output. Each workflow pattern has stated preconditions; matching a scenario's evidence to those preconditions is how patterns are selected defensibly.,Solution Design & Architecture
"A private-equity firm runs due diligence on acquisition targets: for each deal, dozens of independent questions across financials, litigation history, market position, and key contracts must be researched against a large document room within a 48-hour window. A single agent handles quality fine but cannot finish in time, and its context fills long before the question list is exhausted. How should the architect structure a multi-agent design?",multiple-choice,"Peer agents, one per domain area, sharing a common conversation so each can build on the others' discoveries as research progresses","Tempting because cross-pollination between domains sounds valuable, but a shared conversation recreates the exact context-exhaustion problem at ensemble scale, and peers coordinating without a lead produce duplicated work and unclear ownership. The questions are stated to be independent, so shared state buys little and costs much.","An orchestrator that spawns worker agents per research question, each with an isolated context, and synthesizes their returned findings","Correct. Independent parallelizable questions, a hard deadline, and context exhaustion form the canonical orchestrator-workers case: each worker gets an isolated context sized to its one question, workers run in parallel to beat the clock, and the orchestrator alone holds the synthesis. Context isolation per subagent is what makes the parallelism clean.",A sequential relay in which each specialist agent completes its domain and passes a condensed brief to the next until coverage is complete,"A relay is still sequential, so it does not attack the 48-hour constraint, and each condensation step loses detail the next specialist might have needed. It inherits multi-agent cost while forgoing multi-agent's actual advantage here, which is parallel breadth.","A single agent kept in place, with an external memory store that summarizes and evicts older findings so its context never overflows","Tempting because memory management is the lighter-touch fix, but it addresses only the context ceiling, not throughput: one agent working serially still cannot cover dozens of questions in 48 hours. Summarization eviction also risks discarding details that later questions require.",,,,,2,"Orchestrator-workers with isolated contexts for parallel, independent research. Multi-agent designs earn their cost when breadth and parallelism are the bottleneck, and context isolation is what keeps parallel workers cheap and clean.",Solution Design & Architecture
"An e-commerce platform team runs three Claude coding agents in parallel on one large migration — one on the checkout service, one on inventory, one on notifications. The agents share a workspace and a running conversation 'so everyone stays informed.' Runs keep degrading: agents overwrite each other's edits, act on each other's stale plans, and burn tokens re-reading unrelated discussion. What should the architect change?",multiple-choice,"Keep the shared conversation but instruct each agent, via its system prompt, to ignore messages that are not addressed to it","Tempting because it is the cheapest edit, but instructions to ignore content still leave that content in the window: tokens are paid, attention is diluted, and stale plans remain available to act on. Prompt-level discipline cannot substitute for architectural isolation — the shared mutable context is the defect.","Serialize the agents so only one works at a time on the shared context, with each picking up where the previous one stopped","Serialization does stop the overwrites, but it surrenders the parallelism that was the point of using three agents, and the ever-growing shared context still bloats and confuses each successive agent. It trades the corruption problem for a throughput problem instead of fixing the structure.","Add a fourth agent as moderator, summarizing the shared conversation and telling each worker which parts are relevant to it","Tempting because a moderator mimics how human teams handle noisy channels, but it adds a fourth agent's cost and latency to compensate for a structure that should not exist. Summaries also lag reality, so the stale-plan failure mode survives — this treats the symptom with more machinery.","Isolate each agent to its own context and service boundary, with an orchestrating process defining the interfaces between services up front","Correct. Parallel workers need isolated contexts and non-overlapping ownership, with coordination expressed as explicit interface contracts defined up front rather than as a shared stream of chatter. This is context isolation plus boundary design: each agent sees only what its subtask needs, and integration happens at defined seams.",,,,,4,"Coordinate parallel agents through explicit interfaces, not shared mutable context. Shared context versus isolation is the central multi-agent design axis, and isolation with defined contracts is the default for parallel work.",Solution Design & Architecture
A fintech security team uses Claude to review pull requests for vulnerabilities before release. A single review call catches issues inconsistently — the same PR reviewed twice can yield different findings — and missing a real injection flaw is far costlier than a few false positives the team must triage. Latency up to several minutes is acceptable. Which decomposition approach fits this requirement?,multiple-choice,"Run several independent review calls on the same diff, optionally with varied prompts, and union the findings so anything any pass flags gets triaged","Correct. This is parallelization in its voting form: multiple independent attempts at the same task, aggregated to the requirement. Because the stated cost asymmetry punishes misses far more than false positives, union aggregation is the right voting rule — each independent pass catches issues others miss, directly attacking the inconsistency described.","Chain the review into two steps: one call lists the code paths worth examining, and a second call reviews only those paths in depth","Tempting because chaining narrows focus, but making one call nominate the paths to examine creates a single point of failure at the first step: a vulnerable path omitted from the list is never reviewed at all. Chaining helps when steps transform each other's output, not when the problem is variance in what one pass notices.","Section the diff by file and review each file in a separate parallel call, merging per-file findings into one report","Sectioning by file helps attention on large diffs, but each file still gets exactly one pass, so run-to-run inconsistency is untouched — and injection flaws often span files, which per-file review severs. This decomposes by size when the stated problem is reliability of detection.","Use one review call but require structured output listing each finding with a confidence score, triaging only findings above a threshold","Tempting because confidence thresholds feel like rigor, but one call still only surfaces what that single pass happened to notice, and thresholding then suppresses findings — raising miss risk, the exact cost the stem says is unacceptable. Self-reported confidence is also a weak signal to gate on.",,,,,1,"Use voting-style parallelization when misses are costly and single passes are inconsistent. Sectioning and voting are both parallelization, but they answer different problems — coverage of a large input versus confidence on a hard judgment.",Solution Design & Architecture
"An auto insurer's Claude system reads accident claims — police reports, photos' captions, adjuster notes — and outputs a liability recommendation with reasoning. Accuracy is mediocre and improvement has stalled because the team cannot tell whether errors come from misreading the documents or from flawed liability reasoning. Regulators are also asking for clearer decision traces. How should the task be decomposed?",multiple-choice,"Separate extraction from adjudication: one stage produces a structured facts record from the documents, and a distinct stage reasons over that record to recommend liability","Correct. The stem describes two distinct competencies — reading and judging — fused into one unattributable step. Decomposing at that process boundary yields a structured intermediate artifact that can be independently validated against the documents, evaluated separately from the reasoning stage, and shown to regulators as a decision trace. Each error class now has an owner.",Keep the single call but request chain-of-thought reasoning in the output so reviewers can trace where each decision went wrong,"Tempting because visible reasoning aids review, but chain-of-thought is a narrative, not a checkable artifact: extraction mistakes and reasoning flaws remain interleaved in one pass, and the team still cannot evaluate or fix either independently. Transparency of a monolith is not decomposition of it.","Split by document type — one call per source — and have each call output its own liability opinion, reconciled by a final merging call","Per-document splitting is decomposition along the wrong boundary: liability judgment inherently requires synthesizing across sources, so asking each call for its own opinion forces conclusions from partial evidence, and the merge call inherits contradictions. The natural seam is between reading and judging, not between files.","Run the same end-to-end call three times and adopt the majority liability recommendation, using disagreement as the error signal","Tempting because majority voting can lift accuracy a little, but three runs of the same conflated task share the same structural blindness, and disagreement tells you something went wrong without saying where. It triples cost while leaving the diagnostic question — extraction or reasoning? — exactly as unanswerable.",,,,,1,Split perception from judgment so each stage is independently checkable. The most valuable decomposition boundaries are the ones that make a validated intermediate representation possible.,Solution Design & Architecture
